TimeStamp,Velocity,DesiredVelocity,ControllerOutput,Acceleration
0,0,10,2463,2.463
0.1,0.2463,10,1774,1.76169
0.2,0.422469,10,1945.18,1.92406
0.3,0.614875,10,1881.61,1.85087
0.4,0.799961,10,1882.1,1.8421
0.5,0.984171,10,1865.1,1.81589
0.6,1.16576,10,1852.88,1.79459
0.7,1.34522,10,1839.35,1.77209
0.8,1.52243,10,1826.2,1.75008
0.9,1.69744,10,1812.95,1.72808
1,1.87024,10,1799.75,1.70624
1.1,2.04087,10,1786.56,1.68451
1.2,2.20932,10,1773.38,1.66292
1.3,2.37561,10,1760.23,1.64145
1.4,2.53976,10,1747.1,1.62012
1.5,2.70177,10,1734,1.59891
1.6,2.86166,10,1720.93,1.57784
1.7,3.01944,10,1707.88,1.55691
1.8,3.17513,10,1694.87,1.53611
1.9,3.32875,10,1681.9,1.51546
2,3.48029,10,1668.96,1.49494
2.1,3.62979,10,1656.06,1.47457
2.2,3.77724,10,1643.2,1.45434
2.3,3.92268,10,1630.38,1.43425
2.4,4.0661,10,1617.61,1.4143
2.5,4.20753,10,1604.89,1.39451
2.6,4.34698,10,1592.21,1.37486
2.7,4.48447,10,1579.58,1.35536
2.8,4.62,10,1567.01,1.33601
2.9,4.7536,10,1554.49,1.31681
3,4.88529,10,1542.02,1.29776
3.1,5.01506,10,1529.61,1.27886
3.2,5.14295,10,1517.26,1.26011
3.3,5.26896,10,1504.96,1.24152
3.4,5.39311,10,1492.73,1.22308
3.5,5.51542,10,1480.56,1.20479
3.6,5.6359,10,1468.45,1.18666
3.7,5.75456,10,1456.41,1.16868
3.8,5.87143,10,1444.43,1.15086
3.9,5.98652,10,1432.52,1.1332
4,6.09984,10,1420.68,1.11569
4.1,6.2114,10,1408.9,1.09833
4.2,6.32124,10,1397.2,1.08114
4.3,6.42935,10,1385.57,1.0641
4.4,6.53576,10,1374.01,1.04722
4.5,6.64048,10,1362.52,1.03049
4.6,6.74353,10,1351.1,1.01393
4.7,6.84493,10,1339.76,0.997516
4.8,6.94468,10,1328.5,0.981264
4.9,7.0428,10,1317.31,0.965168
5,7.13932,10,1306.2,0.94923
5.1,7.23424,10,1295.16,0.933449
5.2,7.32759,10,1284.2,0.917826
5.3,7.41937,10,1273.33,0.902359
5.4,7.50961,10,1262.53,0.887048
5.5,7.59831,10,1251.81,0.871895
5.6,7.6855,10,1241.17,0.856897
5.7,7.77119,10,1230.62,0.842056
5.8,7.8554,10,1220.14,0.82737
5.9,7.93813,10,1209.75,0.812839
6,8.01942,10,1199.43,0.798464
6.1,8.09926,10,1189.21,0.784243
6.2,8.17769,10,1179.06,0.770176
6.3,8.25471,10,1169,0.756263
6.4,8.33033,10,1159.02,0.742503
6.5,8.40458,10,1149.13,0.728897
6.6,8.47747,10,1139.32,0.715442
6.7,8.54902,10,1129.59,0.702139
6.8,8.61923,10,1119.95,0.688988
6.9,8.68813,10,1110.39,0.675987
7,8.75573,10,1100.92,0.663136
7.1,8.82204,10,1091.54,0.650435
7.2,8.88708,10,1082.24,0.637882
7.3,8.95087,10,1073.02,0.625478
7.4,9.01342,10,1063.89,0.613221
7.5,9.07474,10,1054.85,0.601111
7.6,9.13485,10,1045.89,0.589147
7.7,9.19377,10,1037.02,0.577328
7.8,9.2515,10,1028.23,0.565655
7.9,9.30807,10,1019.53,0.554125
8,9.36348,10,1010.91,0.542738
8.1,9.41775,10,1002.38,0.531494
8.2,9.4709,10,993.936,0.520391
8.3,9.52294,10,985.576,0.509429
8.4,9.57388,10,977.301,0.498607
8.5,9.62374,10,969.112,0.487925
8.6,9.67254,10,961.007,0.47738
8.7,9.72028,10,952.987,0.466973
8.8,9.76697,10,945.052,0.456703
8.9,9.81264,10,937.201,0.446568
9,9.8573,10,929.434,0.436569
9.1,9.90096,10,921.751,0.426703
9.2,9.94363,10,914.152,0.41697
9.3,9.98532,10,906.636,0.40737
9.4,10.0261,10,899.203,0.3979
9.5,10.0659,10,891.854,0.388561
9.6,10.1047,10,884.587,0.379352
9.7,10.1426,10,877.403,0.37027
9.8,10.1797,10,870.3,0.361317
9.9,10.2158,10,863.28,0.352489
10,10.251,10,856.34,0.343788
10.1,10.2854,10,849.482,0.335211
10.2,10.3189,10,842.705,0.326757
10.3,10.3516,10,836.008,0.318427
10.4,10.3835,10,829.391,0.310218
10.5,10.4145,10,822.854,0.302129
10.6,10.4447,10,816.396,0.29416
10.7,10.4741,10,810.016,0.28631
10.8,10.5027,10,803.716,0.278578
10.9,10.5306,10,797.493,0.270962
11,10.5577,10,791.348,0.263463
11.1,10.5841,10,785.28,0.256077
