# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.958; 2.506; 2.683
0.3; 0.173; -0.487; 2.639; 2.683
0.6; 0.350; -0.743; 2.414; 2.525
0.9; 0.536; -0.906; 2.112; 2.298
1.2; 0.738; -0.748; 1.903; 2.045
1.5; 0.957; -0.701; 1.693; 1.832
1.8; 1.192; -0.701; 1.466; 1.625
2.1; 1.442; -0.733; 1.196; 1.403
2.4; 1.704; -0.437; 1.138; 1.220
2.7; 1.956; 0.156; 1.430; 1.439
3.0; 2.191; 0.004; 1.538; 1.538
3.3; 2.402; 0.774; 1.644; 1.818
3.6; 2.572; 1.857; 0.712; 1.989
3.9; 2.708; 2.791; -0.057; 2.792
4.2; 2.822; 2.502; -1.063; 2.718
4.5; 2.925; 2.203; -1.596; 2.721
4.8; 3.020; 2.215; -1.554; 2.706
5.1; 3.112; 0.619; -0.843; 1.046
5.4; 3.209; -2.851; 0.250; 2.862
5.7; 3.318; -2.608; 1.202; 2.872
6.0; 3.441; -2.233; 1.808; 2.873
6.3; 3.578; -1.554; 2.149; 2.652
6.6; 3.728; -0.973; 2.399; 2.589
6.9; 3.889; -0.765; 2.524; 2.637
7.2; 4.059; -0.624; 2.576; 2.650
7.5; 4.233; -0.215; 2.728; 2.737
7.8; 4.407; -0.216; 2.768; 2.776
8.1; 4.578; -0.181; 2.828; 2.834
8.4; 4.746; -0.206; 2.839; 2.846
8.7; 4.909; -0.163; 2.844; 2.849
9.0; 5.066; -0.081; 2.843; 2.844
9.3; 5.219; 0.026; 2.734; 2.734
9.6; 5.363; 0.330; 2.654; 2.675
9.9; 5.499; 0.671; 2.625; 2.709
10.2; 5.625; 0.943; 2.592; 2.758
10.5; 5.741; 1.186; 2.519; 2.784
10.8; 5.849; 1.349; 2.431; 2.780
11.1; 5.950; 1.468; 2.358; 2.778
11.4; 6.046; 1.528; 2.317; 2.776
11.7; 6.138; 1.517; 2.324; 2.776
12.0; 6.227; 1.432; 2.383; 2.780
12.3; 6.315; 0.415; 2.369; 2.405
12.6; 6.405; -1.951; 2.311; 3.024
12.9; 6.500; -1.979; 2.247; 2.994
13.2; 6.602; -2.031; 2.159; 2.965
13.5; 6.712; -2.080; 2.088; 2.947
13.8; 6.834; -2.025; 2.027; 2.865
14.1; 6.969; -1.828; 1.999; 2.709
14.4; 7.120; -1.418; 2.079; 2.517
14.7; 7.286; -0.958; 2.506; 2.683
