# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.41890; 1.1; 0.0; 2.5
0.3; 0.173; 0.41890; -0.0; -0.0; 2.3
0.6; 0.350; 0.41890; -0.0; -0.9; 2.0
0.9; 0.536; 0.41890; -0.0; -0.5; 1.8
1.2; 0.738; 0.41890; -0.0; -0.5; 1.6
1.5; 0.957; 0.41890; -0.0; -0.6; 1.4
1.8; 1.192; 0.41890; -0.0; -1.0; 1.1
2.1; 1.442; 0.41890; -0.0; 0.0; 1.1
2.4; 1.704; 0.41890; 2.4; 0.0; 1.3
2.7; 1.956; 0.41890; 2.0; 0.0; 1.4
3.0; 2.191; 0.34432; 18.1; -13.0; 1.5
3.3; 2.402; 0.13275; 21.7; -13.4; 0.7
3.6; 2.572; -0.00158; 15.7; -4.4; -0.1
3.9; 2.708; -0.07423; 11.5; -1.1; -1.0
4.2; 2.822; -0.09998; 11.0; -1.4; -1.5
4.5; 2.925; -0.08872; 12.7; -3.0; -1.5
4.8; 3.020; -0.04854; 3.7; -0.0; -0.8
5.1; 3.112; 0.01296; -0.0; -9.6; 0.2
5.4; 3.209; 0.08659; -0.0; -8.6; 1.1
5.7; 3.318; 0.16193; -0.0; -6.9; 1.7
6.0; 3.441; 0.23572; -0.0; -4.0; 2.0
6.3; 3.578; 0.30449; -0.0; -1.4; 2.2
6.6; 3.728; 0.35977; -0.0; -0.3; 2.4
6.9; 3.889; 0.39779; 0.4; 0.0; 2.4
7.2; 4.059; 0.41890; 2.1; 0.0; 2.6
7.5; 4.233; 0.41890; 2.2; 0.0; 2.6
7.8; 4.407; 0.41890; 2.3; 0.0; 2.6
8.1; 4.578; 0.40758; 2.2; 0.0; 2.7
8.4; 4.746; 0.38942; 2.3; 0.0; 2.7
8.7; 4.909; 0.36914; 2.5; 0.0; 2.7
9.0; 5.066; 0.33827; 8.0; -5.3; 2.6
9.3; 5.219; 0.29921; 9.7; -6.1; 2.5
9.6; 5.363; 0.26223; 8.0; -3.3; 2.5
9.9; 5.499; 0.22846; 6.6; -1.0; 2.4
10.2; 5.625; 0.19640; 6.3; 0.0; 2.4
10.5; 5.741; 0.16912; 6.9; 0.0; 2.3
10.8; 5.849; 0.14730; 7.3; 0.0; 2.2
11.1; 5.950; 0.13105; 7.5; 0.0; 2.2
11.4; 6.046; 0.12010; 7.5; 0.0; 2.2
11.7; 6.138; 0.11378; 7.2; 0.0; 2.2
12.0; 6.227; 0.11093; 20.2; -16.8; 2.2
12.3; 6.315; 0.11020; 0.0; -5.5; 2.2
12.6; 6.405; 0.11421; -0.0; -5.7; 2.1
12.9; 6.500; 0.12479; -0.0; -6.0; 2.0
13.2; 6.602; 0.14322; -0.0; -6.2; 2.0
13.5; 6.712; 0.17052; -0.0; -6.0; 1.9
13.8; 6.834; 0.21083; -0.0; -5.2; 1.9
14.1; 6.969; 0.26892; -0.0; -3.4; 1.9
14.4; 7.120; 0.37103; -0.0; -1.0; 2.3
