# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 1.92; 0.12667; 1.21695; -0.12670; -0.04433
0.3; 0.173; 1.90; 0.14490; 1.35699; -0.10007; -0.07608
0.6; 0.350; 1.83; 0.15460; 1.31337; -0.08756; -0.15367
0.9; 0.536; 1.73; 0.16443; 1.24201; -0.10156; -0.24834
1.2; 0.738; 1.64; 0.17193; 1.19387; -0.14149; -0.31651
1.5; 0.957; 1.55; 0.17724; 1.13120; -0.19555; -0.33370
1.8; 1.192; 1.45; 0.18217; 1.06085; -0.24489; -0.29840
2.1; 1.442; 1.33; 0.18728; 0.96966; -0.27213; -0.22173
2.4; 1.704; 1.27; 0.19033; 0.93776; -0.26576; -0.11430
2.7; 1.956; 1.37; 0.18756; 1.02177; -0.21985; 0.01614
3.0; 2.191; 1.44; 0.18435; 1.06321; -0.13056; 0.16240
3.3; 2.402; 1.68; 0.14323; 0.94789; -0.01029; 0.28122
3.6; 2.572; 2.03; 0.05016; 0.25528; 0.09926; 0.28778
3.9; 2.708; 2.41; -0.00079; -0.08996; 0.17807; 0.22128
4.2; 2.822; 2.69; -0.02411; -0.42553; 0.22252; 0.12176
4.5; 2.925; 2.92; -0.02904; -0.55337; 0.23361; 0.01203
4.8; 3.020; 3.14; -0.02382; -0.50390; 0.21466; -0.09121
5.1; 3.112; 3.20; -0.01308; -0.24948; 0.17091; -0.17553
5.4; 3.209; 2.92; 0.00237; 0.13610; 0.10987; -0.23112
5.7; 3.318; 2.63; 0.02395; 0.46685; 0.04163; -0.25451
6.0; 3.441; 2.36; 0.04959; 0.71326; -0.02353; -0.25050
6.3; 3.578; 2.16; 0.07781; 0.91787; -0.07722; -0.22748
6.6; 3.728; 2.05; 0.10390; 1.10388; -0.11450; -0.19528
6.9; 3.889; 1.97; 0.12423; 1.23380; -0.13563; -0.16956
7.2; 4.059; 1.92; 0.13884; 1.31573; -0.14617; -0.16345
7.5; 4.233; 1.95; 0.14344; 1.41148; -0.15440; -0.17226
7.8; 4.407; 1.98; 0.13986; 1.42704; -0.16694; -0.18327
8.1; 4.578; 2.02; 0.13360; 1.44472; -0.18226; -0.17606
8.4; 4.746; 2.04; 0.12706; 1.42715; -0.19364; -0.14759
8.7; 4.909; 2.08; 0.12138; 1.40409; -0.19448; -0.10275
9.0; 5.066; 2.12; 0.11552; 1.37676; -0.18066; -0.04868
9.3; 5.219; 2.17; 0.10844; 1.28445; -0.15235; -0.00003
9.6; 5.363; 2.26; 0.09779; 1.19881; -0.11385; 0.03575
9.9; 5.499; 2.39; 0.08445; 1.12760; -0.07116; 0.05521
10.2; 5.625; 2.53; 0.07074; 1.05419; -0.03025; 0.05624
10.5; 5.741; 2.69; 0.05782; 0.96748; 0.00329; 0.03783
10.8; 5.849; 2.85; 0.04677; 0.88569; 0.02487; 0.00346
11.1; 5.950; 3.01; 0.03776; 0.81702; 0.03192; -0.03793
11.4; 6.046; 3.17; 0.03055; 0.76653; 0.02484; -0.07456
11.7; 6.138; 3.31; 0.02482; 0.73706; 0.00662; -0.09942
12.0; 6.227; 3.45; 0.02012; 0.72828; -0.01887; -0.11255
12.3; 6.315; 3.49; 0.01618; 0.70632; -0.04855; -0.11780
12.6; 6.405; 3.32; 0.01421; 0.69412; -0.07981; -0.11561
12.9; 6.500; 3.13; 0.01759; 0.67585; -0.10945; -0.10862
13.2; 6.602; 2.92; 0.02462; 0.68412; -0.13476; -0.09791
13.5; 6.712; 2.70; 0.03484; 0.71798; -0.15357; -0.08370
13.8; 6.834; 2.46; 0.04921; 0.77214; -0.16369; -0.06718
14.1; 6.969; 2.23; 0.06930; 0.85533; -0.16296; -0.05086
14.4; 7.120; 2.03; 0.09575; 0.98266; -0.14995; -0.04035
14.7; 7.286; 1.92; 0.12667; 1.21695; -0.12670; -0.04433
