# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 1.93; 0.14424; 1.40110; -0.08555; 0.08678
0.3; 0.169; 1.89; 0.14859; 1.34702; -0.02231; -0.00421
0.6; 0.331; 1.85; 0.15391; 1.33795; -0.00336; -0.18455
0.9; 0.501; 1.81; 0.15891; 1.30553; -0.04259; -0.37216
1.2; 0.694; 1.75; 0.16446; 1.26775; -0.13567; -0.48122
1.5; 0.911; 1.68; 0.16959; 1.22510; -0.25433; -0.48577
1.8; 1.133; 1.71; 0.16945; 1.25749; -0.35936; -0.40990
2.1; 1.343; 1.74; 0.16728; 1.27469; -0.42576; -0.28829
2.4; 1.541; 1.78; 0.16474; 1.30134; -0.44340; -0.14121
2.7; 1.729; 1.82; 0.16148; 1.32997; -0.40883; 0.02276
3.0; 1.907; 1.95; 0.14240; 1.28933; -0.32493; 0.18372
3.3; 2.069; 2.19; 0.09607; 0.93078; -0.21112; 0.29085
3.6; 2.209; 2.51; 0.04300; 0.42776; -0.09480; 0.31885
3.9; 2.328; 2.84; 0.00665; 0.01205; 0.00497; 0.28518
4.2; 2.431; 3.10; -0.01346; -0.34654; 0.07830; 0.21095
4.5; 2.525; 3.29; -0.02044; -0.58187; 0.12113; 0.11284
4.8; 2.613; 3.36; -0.01963; -0.63237; 0.13277; 0.00595
5.1; 2.703; 3.14; -0.01561; -0.39518; 0.11527; -0.09303
5.4; 2.802; 2.87; -0.00285; 0.03163; 0.07478; -0.16788
5.7; 2.913; 2.56; 0.02205; 0.42164; 0.02200; -0.21092
6.0; 3.039; 2.28; 0.05278; 0.70300; -0.03250; -0.22694
6.3; 3.181; 2.09; 0.08567; 0.93966; -0.08068; -0.22560
6.6; 3.338; 1.99; 0.11388; 1.13908; -0.11865; -0.21720
6.9; 3.506; 1.92; 0.13415; 1.26607; -0.14804; -0.21497
7.2; 3.683; 1.94; 0.14272; 1.38813; -0.17420; -0.22097
7.5; 3.863; 1.94; 0.14377; 1.39239; -0.20309; -0.22942
7.8; 4.045; 1.96; 0.14245; 1.41114; -0.23216; -0.21663
8.1; 4.222; 2.01; 0.13658; 1.44756; -0.25214; -0.17194
8.4; 4.393; 2.04; 0.12912; 1.43446; -0.25479; -0.10570
8.7; 4.558; 2.07; 0.12290; 1.41077; -0.23532; -0.02957
9.0; 4.718; 2.11; 0.11676; 1.38009; -0.19267; 0.04683
9.3; 4.871; 2.17; 0.10882; 1.27532; -0.13079; 0.10709
9.6; 5.016; 2.27; 0.09642; 1.17924; -0.05835; 0.14310
9.9; 5.148; 2.42; 0.08101; 1.08745; 0.01420; 0.15035
10.2; 5.268; 2.58; 0.06558; 0.98698; 0.07728; 0.12740
10.5; 5.376; 2.77; 0.05133; 0.86829; 0.12321; 0.07603
10.8; 5.475; 2.95; 0.03976; 0.76427; 0.14719; 0.00556
11.1; 5.567; 3.13; 0.03036; 0.66440; 0.14745; -0.06959
11.4; 5.655; 3.31; 0.02311; 0.58707; 0.12529; -0.13420
11.7; 5.741; 3.49; 0.01793; 0.54658; 0.08460; -0.18117
12.0; 5.828; 3.46; 0.01470; 0.51339; 0.03023; -0.21187
12.3; 5.919; 3.25; 0.01560; 0.54631; -0.03205; -0.22526
12.6; 6.018; 3.03; 0.02088; 0.58984; -0.09569; -0.22312
12.9; 6.126; 2.79; 0.02982; 0.66056; -0.15447; -0.20568
13.2; 6.243; 2.55; 0.04290; 0.74096; -0.20227; -0.17308
13.5; 6.372; 2.32; 0.06124; 0.83794; -0.23267; -0.12521
13.8; 6.515; 2.13; 0.08460; 0.95619; -0.23907; -0.06290
14.1; 6.671; 2.02; 0.10968; 1.13775; -0.21545; 0.01122
14.4; 6.841; 1.90; 0.13243; 1.23802; -0.16086; 0.07163
14.7; 7.015; 1.93; 0.14424; 1.40110; -0.08555; 0.08678
