# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 1.989; -1.820; 2.696
0.3; 0.112; 2.128; -1.746; 2.753
0.6; 0.217; 1.823; -2.055; 2.747
0.9; 0.319; 0.980; -2.591; 2.770
1.2; 0.421; -0.569; -2.836; 2.892
1.5; 0.526; -0.683; -2.910; 2.990
1.8; 0.633; -0.708; -2.911; 2.996
2.1; 0.742; -0.173; -2.942; 2.947
2.4; 0.851; 0.155; -2.858; 2.862
2.7; 0.956; 1.193; -2.512; 2.781
3.0; 1.054; 1.685; -2.196; 2.768
3.3; 1.145; 1.890; -1.966; 2.727
3.6; 1.230; 0.628; -1.749; 1.858
3.9; 1.314; -2.317; -1.760; 2.909
4.2; 1.402; -2.144; -2.016; 2.943
4.5; 1.497; -1.875; -2.313; 2.978
4.8; 1.601; -1.343; -2.601; 2.927
5.1; 1.713; -0.860; -2.807; 2.935
5.4; 1.832; -0.633; -2.888; 2.956
5.7; 1.956; -0.406; -2.931; 2.959
6.0; 2.082; -0.645; -2.896; 2.967
6.3; 2.213; -0.755; -2.844; 2.943
6.6; 2.344; 0.470; -2.761; 2.801
6.9; 2.467; 1.279; -2.444; 2.759
7.2; 2.581; 1.654; -2.252; 2.794
7.5; 2.690; -0.203; -2.147; 2.156
7.8; 2.803; -1.775; -2.275; 2.885
8.1; 2.926; -1.488; -2.383; 2.809
8.4; 3.058; -1.145; -2.505; 2.755
8.7; 3.200; -0.814; -2.653; 2.775
9.0; 3.352; -0.911; -2.651; 2.803
9.3; 3.513; -0.718; -2.667; 2.762
9.6; 3.675; -0.118; -2.838; 2.840
9.9; 3.833; -0.211; -2.850; 2.858
10.2; 3.987; -0.199; -2.854; 2.861
10.5; 4.138; -0.085; -2.837; 2.838
10.8; 4.282; 0.596; -2.549; 2.618
11.1; 4.413; 1.642; -2.091; 2.658
11.4; 4.527; 2.603; -0.416; 2.636
11.7; 4.629; 1.166; 2.538; 2.793
12.0; 4.728; -0.047; 2.973; 2.974
12.3; 4.829; -0.609; 2.956; 3.018
12.6; 4.941; -1.891; 2.216; 2.913
12.9; 5.063; -0.182; -1.736; 1.745
13.2; 5.185; -0.071; -2.926; 2.927
13.5; 5.307; -0.304; -2.967; 2.982
13.8; 5.433; -0.632; -2.904; 2.972
14.1; 5.564; -0.876; -2.767; 2.902
14.4; 5.706; -1.172; -2.641; 2.890
14.7; 5.865; -1.277; -2.562; 2.862
15.0; 6.042; -0.920; -2.582; 2.741
15.3; 6.240; -0.806; -2.628; 2.749
15.6; 6.439; 0.414; -2.777; 2.808
15.9; 6.618; 0.393; -2.770; 2.798
16.2; 6.774; 0.368; -2.735; 2.760
16.5; 6.914; 0.166; -2.846; 2.851
16.8; 7.039; 1.989; -1.820; 2.696
