# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.14120; 10.5; -1.2; -1.6
0.3; 0.112; -0.14430; 8.4; 0.0; -1.9
0.6; 0.217; -0.16971; 5.6; 0.0; -2.4
0.9; 0.319; -0.19673; 0.0; 0.0; -2.7
1.2; 0.421; -0.20722; -0.0; -0.4; -2.7
1.5; 0.526; -0.20488; -0.0; -0.5; -2.7
1.8; 0.633; -0.19336; 1.4; 0.0; -2.8
2.1; 0.742; -0.17299; 2.5; 0.0; -2.7
2.4; 0.851; -0.15187; 6.2; 0.0; -2.3
2.7; 0.956; -0.12893; 8.5; -0.5; -2.1
3.0; 1.054; -0.10658; 10.5; -1.8; -1.8
3.3; 1.145; -0.09315; 30.3; -26.4; -1.6
3.6; 1.230; -0.09724; 0.0; -7.1; -1.6
3.9; 1.314; -0.12073; -0.0; -6.4; -1.9
4.2; 1.402; -0.15571; -0.0; -5.3; -2.2
4.5; 1.497; -0.19740; -0.0; -3.1; -2.4
4.8; 1.601; -0.23775; -0.0; -1.0; -2.6
5.1; 1.713; -0.26319; -0.0; 0.0; -2.7
5.4; 1.832; -0.27553; 0.9; 0.0; -2.7
5.7; 1.956; -0.27772; -0.0; 0.0; -2.7
6.0; 2.082; -0.27121; -0.0; -0.5; -2.7
6.3; 2.213; -0.24903; 3.9; 0.0; -2.6
6.6; 2.344; -0.20416; 8.2; -1.5; -2.3
6.9; 2.467; -0.16484; 8.3; -0.4; -2.1
7.2; 2.581; -0.16291; 32.1; -31.1; -2.0
7.5; 2.690; -0.18226; -0.0; -4.9; -2.1
7.8; 2.803; -0.21428; -0.0; -3.7; -2.2
8.1; 2.926; -0.25493; -0.0; -2.2; -2.3
8.4; 3.058; -0.29953; -0.0; -0.7; -2.5
8.7; 3.200; -0.33884; -0.0; -0.8; -2.5
9.0; 3.352; -0.36848; -0.0; 0.0; -2.5
9.3; 3.513; -0.38901; 2.4; 0.0; -2.7
9.6; 3.675; -0.39107; 2.1; 0.0; -2.7
9.9; 3.833; -0.38024; 2.1; 0.0; -2.7
10.2; 3.987; -0.35947; 3.1; -0.7; -2.7
10.5; 4.138; -0.28557; 12.8; -8.3; -2.4
10.8; 4.282; -0.19065; 15.2; -7.2; -2.0
11.1; 4.413; -0.04128; 17.6; -6.7; -0.4
11.4; 4.527; 0.13432; 6.1; 0.0; 2.4
11.7; 4.629; 0.20289; 2.1; 0.0; 2.8
12.0; 4.728; 0.21246; -0.0; 0.0; 2.8
12.3; 4.829; 0.13517; -0.0; -5.5; 2.1
12.6; 4.941; -0.10557; 0.6; 0.0; -1.6
12.9; 5.063; -0.23001; 2.0; 0.0; -2.7
13.2; 5.185; -0.25454; 1.3; 0.0; -2.8
13.5; 5.307; -0.25417; -0.0; 0.0; -2.7
13.8; 5.433; -0.24811; -0.0; -1.0; -2.6
14.1; 5.564; -0.17991; -0.0; -2.6; -2.5
14.4; 5.706; -0.18591; -0.0; -3.1; -2.4
14.7; 5.865; -0.24149; -0.0; -1.5; -2.4
15.0; 6.042; -0.31746; -0.0; -0.7; -2.5
15.3; 6.240; -0.37262; 9.2; -5.0; -2.6
15.6; 6.439; -0.34301; 10.4; -6.4; -2.6
15.9; 6.618; -0.30434; 12.4; -8.7; -2.6
16.2; 6.774; -0.23430; 2.6; 0.0; -2.7
16.5; 6.914; -0.16598; 15.2; -6.2; -1.7
