# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.26236; 7.3; -2.8; -2.5
0.3; 0.126; -0.23582; 5.8; -0.7; -2.5
0.6; 0.247; -0.21149; 5.4; 0.0; -2.5
0.9; 0.363; -0.19121; 5.6; 0.0; -2.4
1.2; 0.475; -0.17557; 5.6; 0.0; -2.4
1.5; 0.582; -0.16471; 5.4; 0.0; -2.5
1.8; 0.684; -0.15839; 5.0; 0.0; -2.5
2.1; 0.783; -0.15580; 4.3; 0.0; -2.6
2.4; 0.880; -0.15544; 3.4; 0.0; -2.7
2.7; 0.975; -0.15548; 2.6; 0.0; -2.7
3.0; 1.068; -0.15506; 2.6; -1.0; -2.8
3.3; 1.160; -0.15477; 3.9; -5.2; -2.7
3.6; 1.253; -0.15595; 3.7; -5.0; -2.7
3.9; 1.347; -0.15854; 3.0; -4.3; -2.7
4.2; 1.441; -0.16220; 2.3; -3.7; -2.7
4.5; 1.539; -0.16671; 1.3; -2.9; -2.7
4.8; 1.641; -0.17134; -0.0; -2.0; -2.6
5.1; 1.750; -0.17648; 0.0; -2.1; -2.6
5.4; 1.866; -0.18032; 0.0; -1.9; -2.6
5.7; 1.989; -0.18087; 2.9; 0.0; -2.7
6.0; 2.115; -0.17640; 1.9; 0.0; -2.6
6.3; 2.241; -0.16868; 7.0; 0.0; -2.2
6.6; 2.361; -0.15274; 7.9; 0.0; -2.1
6.9; 2.473; -0.14764; 15.6; -10.3; -2.1
7.2; 2.578; -0.16176; 0.0; -5.3; -2.1
7.5; 2.686; -0.18749; -0.0; -4.2; -2.2
7.8; 2.801; -0.22161; -0.0; -3.0; -2.3
8.1; 2.926; -0.26098; -0.0; -1.5; -2.5
8.4; 3.060; -0.30062; -0.0; -0.5; -2.6
8.7; 3.204; -0.33100; -0.0; -0.9; -2.5
9.0; 3.359; -0.35546; 1.7; 0.0; -2.6
9.3; 3.520; -0.36423; 1.9; 0.0; -2.7
9.6; 3.680; -0.35774; 1.9; 0.0; -2.7
9.9; 3.836; -0.33857; 4.2; -2.0; -2.6
10.2; 3.989; -0.28904; 9.6; -5.8; -2.5
10.5; 4.134; -0.22944; 10.1; -4.0; -2.3
10.8; 4.269; -0.16288; 11.8; -3.4; -2.0
11.1; 4.391; -0.09327; 15.9; -5.9; -1.3
11.4; 4.500; -0.02845; 16.8; -5.3; -0.4
11.7; 4.598; 0.02383; 15.1; -3.8; 0.6
12.0; 4.687; 0.05633; 12.9; -2.8; 1.3
12.3; 4.771; 0.05841; 0.0; -7.1; 1.3
12.6; 4.856; 0.02758; 0.0; -9.1; 0.5
12.9; 4.948; -0.02788; -0.0; -9.5; -0.4
13.2; 5.051; -0.09889; -0.0; -8.4; -1.2
13.5; 5.168; -0.17315; -0.0; -6.5; -1.8
13.8; 5.300; -0.24756; -0.0; -3.6; -2.0
14.1; 5.449; -0.31671; -0.0; -1.1; -2.3
14.4; 5.611; -0.36900; -0.0; 0.0; -2.4
14.7; 5.785; -0.40049; 2.1; 0.0; -2.6
15.0; 5.965; -0.40773; 2.4; 0.0; -2.6
15.3; 6.143; -0.39757; 2.2; 0.0; -2.7
15.6; 6.314; -0.37852; 2.3; 0.0; -2.7
15.9; 6.474; -0.35740; 4.4; -1.9; -2.6
16.2; 6.619; -0.32562; 9.3; -6.5; -2.5
16.5; 6.755; -0.29235; 8.9; -5.1; -2.5
