# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 2.28; -0.09562; -1.19222; -0.04547; 0.11873
0.3; 0.126; 2.39; -0.08394; -1.13798; -0.03115; 0.14859
0.6; 0.247; 2.52; -0.07217; -1.08803; -0.00950; 0.14531
0.9; 0.363; 2.65; -0.06119; -1.03196; 0.01149; 0.12274
1.2; 0.475; 2.77; -0.05173; -0.98174; 0.02728; 0.09180
1.5; 0.582; 2.89; -0.04384; -0.94395; 0.03578; 0.05832
1.8; 0.684; 3.00; -0.03726; -0.92204; 0.03625; 0.02510
2.1; 0.783; 3.09; -0.03159; -0.91723; 0.02868; -0.00648
2.4; 0.880; 3.16; -0.02632; -0.92751; 0.01359; -0.03530
2.7; 0.975; 3.20; -0.02100; -0.94643; -0.00794; -0.05961
3.0; 1.068; 3.22; -0.01543; -0.96564; -0.03397; -0.07648
3.3; 1.160; 3.21; -0.00970; -0.97798; -0.06150; -0.08165
3.6; 1.253; 3.13; -0.00421; -0.96790; -0.08615; -0.06998
3.9; 1.347; 3.04; -0.00142; -0.97369; -0.10302; -0.03787
4.2; 1.441; 2.96; 0.00004; -0.98890; -0.10723; 0.01200
4.5; 1.539; 2.87; 0.00087; -1.01002; -0.09584; 0.06617
4.8; 1.641; 2.77; 0.00159; -1.03847; -0.06994; 0.10753
5.1; 1.750; 2.66; 0.00281; -1.07271; -0.03433; 0.12593
5.4; 1.866; 2.53; 0.00443; -1.10524; 0.00406; 0.11890
5.7; 1.989; 2.40; 0.00462; -1.11513; 0.03753; 0.08888
6.0; 2.115; 2.44; -0.00387; -1.08574; 0.05858; 0.04767
6.3; 2.241; 2.45; -0.02621; -0.88034; 0.06411; 0.01782
6.6; 2.361; 2.63; -0.04820; -0.82277; 0.05595; 0.01095
6.9; 2.473; 2.83; -0.04400; -0.79368; 0.04605; 0.01783
7.2; 2.578; 2.94; -0.03835; -0.79370; 0.04160; 0.03642
7.5; 2.686; 2.75; -0.03868; -0.82085; 0.04462; 0.06098
7.8; 2.801; 2.57; -0.04731; -0.88402; 0.05454; 0.09209
8.1; 2.926; 2.42; -0.05999; -0.97284; 0.07226; 0.13246
8.4; 3.060; 2.31; -0.07369; -1.08054; 0.10016; 0.17901
8.7; 3.204; 2.23; -0.08595; -1.18077; 0.13922; 0.21833
9.0; 3.359; 2.12; -0.09919; -1.20692; 0.18533; 0.23655
9.3; 3.520; 2.13; -0.10706; -1.32592; 0.22786; 0.21578
9.6; 3.680; 2.14; -0.10632; -1.35976; 0.25669; 0.16322
9.9; 3.836; 2.15; -0.10405; -1.35133; 0.26443; 0.08985
10.2; 3.989; 2.18; -0.10217; -1.30633; 0.24669; 0.00665
10.5; 4.134; 2.28; -0.09377; -1.16968; 0.20554; -0.06671
10.8; 4.269; 2.46; -0.07469; -0.99997; 0.14995; -0.11978
11.1; 4.391; 2.70; -0.05117; -0.75800; 0.09035; -0.14382
11.4; 4.500; 2.96; -0.02803; -0.44453; 0.03675; -0.13443
11.7; 4.598; 3.23; -0.00872; -0.11611; -0.00227; -0.09355
12.0; 4.687; 3.47; 0.00418; 0.18269; -0.02044; -0.02716
12.3; 4.771; 3.66; 0.00962; 0.39083; -0.01383; 0.05598
12.6; 4.856; 3.47; 0.00935; 0.38145; 0.01891; 0.14303
12.9; 4.948; 3.21; 0.00591; 0.13142; 0.07603; 0.21616
13.2; 5.051; 2.92; -0.00675; -0.21259; 0.15001; 0.26135
13.5; 5.168; 2.61; -0.02774; -0.52098; 0.22890; 0.27128
13.8; 5.300; 2.34; -0.05366; -0.75173; 0.29972; 0.24766
14.1; 5.449; 2.14; -0.08266; -0.95089; 0.35025; 0.19476
14.4; 5.611; 2.03; -0.10897; -1.13500; 0.37041; 0.11744
14.7; 5.785; 1.96; -0.12835; -1.25955; 0.35392; 0.02712
15.0; 5.965; 1.99; -0.13512; -1.38861; 0.29995; -0.06262
15.3; 6.143; 2.03; -0.13065; -1.43033; 0.21790; -0.12598
15.6; 6.314; 2.06; -0.12401; -1.41612; 0.12583; -0.14230
15.9; 6.474; 2.10; -0.11811; -1.39036; 0.04399; -0.10699
16.2; 6.619; 2.14; -0.11244; -1.34361; -0.01357; -0.03371
16.5; 6.755; 2.19; -0.10537; -1.25456; -0.04235; 0.05231
16.8; 6.885; 2.28; -0.09562; -1.19222; -0.04547; 0.11873
