# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 0.878; -2.647; 2.789
0.3; 0.106; 0.879; -2.651; 2.793
0.6; 0.208; 0.827; -2.678; 2.803
0.9; 0.307; 0.719; -2.727; 2.820
1.2; 0.405; 0.560; -2.790; 2.845
1.5; 0.501; 0.372; -2.851; 2.876
1.8; 0.596; 0.188; -2.899; 2.905
2.1; 0.691; 0.037; -2.928; 2.929
2.4; 0.786; -0.072; -2.943; 2.944
2.7; 0.880; -0.141; -2.949; 2.952
3.0; 0.975; -0.181; -2.951; 2.957
3.3; 1.070; -0.202; -2.952; 2.959
3.6; 1.165; -0.213; -2.954; 2.962
3.9; 1.259; -0.205; -2.960; 2.967
4.2; 1.352; -0.443; -2.934; 2.967
4.5; 1.445; -0.614; -2.912; 2.976
4.8; 1.539; -0.757; -2.897; 2.995
5.1; 1.636; -0.523; -2.917; 2.963
5.4; 1.735; -0.088; -2.948; 2.949
5.7; 1.836; -0.081; -2.947; 2.948
6.0; 1.939; -0.067; -2.947; 2.948
6.3; 2.043; -0.053; -2.945; 2.945
6.6; 2.148; -0.063; -2.940; 2.940
6.9; 2.254; -0.135; -2.923; 2.926
7.2; 2.361; 0.125; -2.863; 2.866
7.5; 2.465; 0.791; -2.695; 2.809
7.8; 2.566; 0.981; -2.616; 2.793
8.1; 2.664; 0.928; -2.645; 2.803
8.4; 2.760; 0.328; -2.624; 2.644
8.7; 2.859; -1.705; -2.508; 3.033
9.0; 2.965; -1.792; -2.420; 3.011
9.3; 3.080; -1.788; -2.323; 2.932
9.6; 3.206; -1.616; -2.323; 2.830
9.9; 3.345; -1.261; -2.435; 2.742
10.2; 3.493; -0.861; -2.606; 2.745
10.5; 3.648; -0.872; -2.640; 2.781
10.8; 3.806; -0.267; -2.809; 2.822
11.1; 3.962; -0.196; -2.857; 2.864
11.4; 4.115; -0.107; -2.852; 2.854
11.7; 4.262; 0.215; -2.663; 2.671
12.0; 4.398; 1.080; -2.431; 2.660
12.3; 4.519; 1.979; -1.820; 2.689
12.6; 4.624; 2.614; -0.665; 2.697
12.9; 4.717; 2.570; 0.878; 2.716
13.2; 4.802; 1.708; 2.143; 2.741
13.5; 4.884; 1.139; 2.554; 2.797
13.8; 4.967; -0.584; 2.222; 2.298
14.1; 5.057; -2.566; 1.032; 2.766
14.4; 5.160; -2.824; -0.342; 2.845
14.7; 5.280; -2.509; -1.447; 2.896
15.0; 5.416; -1.867; -2.062; 2.781
15.3; 5.565; -1.158; -2.398; 2.663
15.6; 5.723; -0.648; -2.610; 2.689
15.9; 5.883; -0.176; -2.799; 2.805
16.2; 6.043; -0.134; -2.855; 2.858
16.5; 6.202; -0.129; -2.860; 2.863
16.8; 6.359; -0.070; -2.804; 2.805
17.1; 6.511; 0.203; -2.712; 2.720
17.4; 6.653; 0.519; -2.682; 2.732
17.7; 6.782; 0.715; -2.677; 2.771
18.0; 6.901; 0.834; -2.661; 2.789
18.3; 7.013; 0.878; -2.647; 2.789
