# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 2.75; -0.05333; -1.00598; -0.02599; 0.00182
0.3; 0.106; 2.85; -0.04580; -0.97165; -0.03352; 0.04232
0.6; 0.208; 2.95; -0.03938; -0.95078; -0.02959; 0.06537
0.9; 0.307; 3.03; -0.03375; -0.94337; -0.01964; 0.07164
1.2; 0.405; 3.10; -0.02855; -0.94706; -0.00825; 0.06475
1.5; 0.501; 3.14; -0.02349; -0.95682; 0.00111; 0.04821
1.8; 0.596; 3.16; -0.01852; -0.96599; 0.00596; 0.02517
2.1; 0.691; 3.17; -0.01381; -0.96997; 0.00476; -0.00140
2.4; 0.786; 3.17; -0.00966; -0.96855; -0.00326; -0.02876
2.7; 0.880; 3.16; -0.00634; -0.96432; -0.01815; -0.05441
3.0; 0.975; 3.14; -0.00391; -0.96036; -0.03923; -0.07592
3.3; 1.070; 3.12; -0.00224; -0.95928; -0.06506; -0.09078
3.6; 1.165; 3.10; -0.00102; -0.96354; -0.09331; -0.09628
3.9; 1.259; 3.08; 0.00030; -0.97677; -0.12074; -0.08959
4.2; 1.352; 3.04; 0.00192; -0.97417; -0.14321; -0.06728
4.5; 1.445; 2.98; 0.00221; -0.96499; -0.15644; -0.02895
4.8; 1.539; 2.91; 0.00093; -0.97351; -0.15766; 0.01713
5.1; 1.636; 2.86; -0.00086; -1.00954; -0.14704; 0.05717
5.4; 1.735; 2.85; -0.00217; -1.02592; -0.12720; 0.08405
5.7; 1.836; 2.85; -0.00248; -1.03646; -0.10153; 0.09724
6.0; 1.939; 2.84; -0.00215; -1.04407; -0.07351; 0.09777
6.3; 2.043; 2.83; -0.00152; -1.04563; -0.04645; 0.08789
6.6; 2.148; 2.83; -0.00150; -1.03212; -0.02310; 0.07098
6.9; 2.254; 2.81; -0.00466; -0.98103; -0.00549; 0.05204
7.2; 2.361; 2.83; -0.01592; -0.87348; 0.00512; 0.03951
7.5; 2.465; 2.92; -0.02837; -0.84263; 0.00946; 0.03626
7.8; 2.566; 3.03; -0.03134; -0.85850; 0.01141; 0.03853
8.1; 2.664; 3.13; -0.02903; -0.87196; 0.01500; 0.04717
8.4; 2.760; 3.17; -0.02552; -0.85394; 0.02361; 0.06562
8.7; 2.859; 3.00; -0.02409; -0.82362; 0.04017; 0.09331
9.0; 2.965; 2.82; -0.02977; -0.80011; 0.06597; 0.12908
9.3; 3.080; 2.62; -0.04075; -0.81623; 0.10105; 0.16607
9.6; 3.206; 2.43; -0.05598; -0.88780; 0.14274; 0.19110
9.9; 3.345; 2.27; -0.07412; -1.00370; 0.18417; 0.19210
10.2; 3.493; 2.17; -0.09130; -1.14125; 0.21586; 0.16358
10.5; 3.648; 2.08; -0.10652; -1.21700; 0.22899; 0.11040
10.8; 3.806; 2.09; -0.11457; -1.34037; 0.21614; 0.03193
11.1; 3.962; 2.11; -0.11354; -1.37896; 0.17458; -0.05932
11.4; 4.115; 2.14; -0.10993; -1.35821; 0.10482; -0.15209
11.7; 4.262; 2.21; -0.10198; -1.21447; 0.01154; -0.22870
12.0; 4.398; 2.40; -0.08023; -1.00235; -0.09348; -0.27665
12.3; 4.519; 2.66; -0.04867; -0.64399; -0.19444; -0.28090
12.6; 4.624; 2.94; -0.01666; -0.18928; -0.27716; -0.23652
12.9; 4.717; 3.17; 0.00782; 0.26453; -0.33186; -0.14987
13.2; 4.802; 3.32; 0.01881; 0.62753; -0.35325; -0.03311
13.5; 4.884; 3.42; 0.01885; 0.77736; -0.33909; 0.09802
13.8; 4.967; 3.38; 0.01614; 0.65619; -0.28877; 0.22718
14.1; 5.057; 3.14; 0.01160; 0.26654; -0.20362; 0.33426
14.4; 5.160; 2.85; -0.00538; -0.20192; -0.09193; 0.40201
14.7; 5.280; 2.55; -0.03139; -0.55849; 0.03121; 0.42192
15.0; 5.416; 2.30; -0.05991; -0.81849; 0.14875; 0.39836
15.3; 5.565; 2.15; -0.08684; -1.03392; 0.24567; 0.33857
15.6; 5.723; 2.09; -0.10598; -1.19985; 0.31149; 0.25128
15.9; 5.883; 2.11; -0.11248; -1.32849; 0.34165; 0.14911
16.2; 6.043; 2.14; -0.10983; -1.36313; 0.33718; 0.04921
16.5; 6.202; 2.17; -0.10516; -1.34841; 0.30208; -0.03675
16.8; 6.359; 2.20; -0.10096; -1.29208; 0.24311; -0.09899
17.1; 6.511; 2.28; -0.09421; -1.21092; 0.17136; -0.12843
17.4; 6.653; 2.39; -0.08384; -1.15246; 0.10029; -0.12549
17.7; 6.782; 2.51; -0.07267; -1.10384; 0.04049; -0.09590
18.0; 6.901; 2.63; -0.06228; -1.05191; -0.00211; -0.04892
18.3; 7.013; 2.75; -0.05333; -1.00598; -0.02599; 0.00182
