# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.860; 2.819; 2.947
0.3; 0.141; -0.758; 2.798; 2.899
0.6; 0.285; -0.680; 2.782; 2.864
0.9; 0.431; -0.340; 2.845; 2.865
1.2; 0.580; -0.255; 2.880; 2.891
1.5; 0.730; -0.294; 2.881; 2.896
1.8; 0.880; -0.284; 2.881; 2.895
2.1; 1.030; -0.226; 2.877; 2.886
2.4; 1.177; -0.117; 2.835; 2.838
2.7; 1.319; 0.252; 2.708; 2.720
3.0; 1.453; 0.733; 2.620; 2.721
3.3; 1.577; 1.178; 2.496; 2.760
3.6; 1.691; 1.621; 2.278; 2.796
3.9; 1.796; 1.960; 1.896; 2.727
4.2; 1.892; 2.300; 1.400; 2.693
4.5; 1.980; 2.569; 0.853; 2.707
4.8; 2.062; 2.720; 0.379; 2.746
5.1; 2.140; 1.949; 0.167; 1.956
5.4; 2.219; -2.956; 0.344; 2.976
5.7; 2.304; -2.795; 0.810; 2.910
6.0; 2.397; -2.556; 1.357; 2.894
6.3; 2.497; -2.275; 1.840; 2.926
6.6; 2.606; -2.023; 2.174; 2.970
6.9; 2.724; -1.572; 2.408; 2.876
7.2; 2.850; -1.155; 2.582; 2.829
7.5; 2.984; -0.842; 2.708; 2.836
7.8; 3.123; -0.731; 2.755; 2.850
8.1; 3.267; -0.407; 2.827; 2.856
8.4; 3.411; -0.225; 2.882; 2.890
8.7; 3.554; -0.269; 2.885; 2.897
9.0; 3.698; -0.249; 2.883; 2.894
9.3; 3.841; -0.184; 2.878; 2.884
9.6; 3.982; -0.106; 2.826; 2.828
9.9; 4.119; 0.127; 2.757; 2.760
10.2; 4.252; 0.379; 2.729; 2.755
10.5; 4.379; 0.571; 2.718; 2.777
10.8; 4.499; 0.743; 2.693; 2.794
11.1; 4.613; 0.875; 2.649; 2.790
11.4; 4.720; 0.996; 2.602; 2.786
11.7; 4.822; 1.088; 2.563; 2.784
12.0; 4.918; 1.137; 2.542; 2.785
12.3; 5.010; 1.132; 2.549; 2.789
12.6; 5.098; 1.068; 2.587; 2.798
12.9; 5.184; 0.946; 2.652; 2.815
13.2; 5.270; 0.779; 2.730; 2.839
13.5; 5.355; 0.599; 2.804; 2.867
13.8; 5.441; 0.434; 2.861; 2.894
14.1; 5.529; -1.308; 2.783; 3.075
14.4; 5.620; -1.250; 2.792; 3.059
14.7; 5.716; -1.246; 2.779; 3.046
15.0; 5.815; -1.263; 2.760; 3.035
15.3; 5.920; -1.267; 2.743; 3.021
15.6; 6.029; -1.209; 2.745; 2.999
15.9; 6.144; -1.100; 2.769; 2.980
16.2; 6.265; -0.959; 2.807; 2.967
16.5; 6.391; -0.797; 2.849; 2.958
16.8; 6.523; -0.772; 2.859; 2.962
17.1; 6.660; -0.860; 2.819; 2.947
