# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 2.33; 0.06565; 1.14082; -0.11077; 0.03510
0.3; 0.141; 2.25; 0.07885; 1.17810; -0.08456; -0.02094
0.6; 0.285; 2.18; 0.09062; 1.22271; -0.07509; -0.09005
0.9; 0.431; 2.17; 0.09738; 1.29550; -0.08354; -0.14919
1.2; 0.580; 2.18; 0.09820; 1.33446; -0.10638; -0.18404
1.5; 0.730; 2.18; 0.09720; 1.33634; -0.13618; -0.18910
1.8; 0.880; 2.18; 0.09683; 1.33136; -0.16310; -0.16466
2.1; 1.030; 2.18; 0.09685; 1.32277; -0.17782; -0.11564
2.4; 1.177; 2.21; 0.09679; 1.28736; -0.17402; -0.05194
2.7; 1.319; 2.28; 0.09272; 1.19775; -0.15065; 0.01079
3.0; 1.453; 2.41; 0.08104; 1.10576; -0.11185; 0.06511
3.3; 1.577; 2.58; 0.06534; 0.98301; -0.06346; 0.10456
3.6; 1.691; 2.79; 0.04920; 0.82965; -0.01147; 0.12491
3.9; 1.796; 3.00; 0.03400; 0.63762; 0.03797; 0.12360
4.2; 1.892; 3.23; 0.02103; 0.43877; 0.07921; 0.10183
4.5; 1.980; 3.46; 0.01103; 0.25352; 0.10793; 0.06374
4.8; 2.062; 3.69; 0.00455; 0.11062; 0.12149; 0.01514
5.1; 2.140; 3.84; 0.00178; 0.04936; 0.11903; -0.03738
5.4; 2.219; 3.60; 0.00217; 0.10045; 0.10138; -0.08641
5.7; 2.304; 3.36; 0.00621; 0.24368; 0.07143; -0.12497
6.0; 2.397; 3.13; 0.01378; 0.42347; 0.03375; -0.14861
6.3; 2.497; 2.90; 0.02403; 0.60110; -0.00622; -0.15598
6.6; 2.606; 2.68; 0.03625; 0.75433; -0.04322; -0.14888
6.9; 2.724; 2.51; 0.05027; 0.89248; -0.07263; -0.13065
7.2; 2.850; 2.38; 0.06446; 1.02111; -0.09125; -0.10585
7.5; 2.984; 2.29; 0.07675; 1.13215; -0.09804; -0.08105
7.8; 3.123; 2.22; 0.08686; 1.19937; -0.09490; -0.06557
8.1; 3.267; 2.20; 0.09343; 1.27027; -0.08642; -0.06562
8.4; 3.411; 2.21; 0.09451; 1.31908; -0.07956; -0.08261
8.7; 3.554; 2.21; 0.09321; 1.32173; -0.07988; -0.10664
9.0; 3.698; 2.21; 0.09248; 1.31374; -0.08683; -0.11934
9.3; 3.841; 2.22; 0.09212; 1.30240; -0.09461; -0.11046
9.6; 3.982; 2.24; 0.09194; 1.26154; -0.09681; -0.08452
9.9; 4.119; 2.30; 0.08961; 1.21316; -0.08978; -0.05024
10.2; 4.252; 2.38; 0.08327; 1.17479; -0.07306; -0.01330
10.5; 4.379; 2.48; 0.07447; 1.13225; -0.04784; 0.02101
10.8; 4.499; 2.59; 0.06489; 1.07743; -0.01631; 0.04767
11.1; 4.613; 2.71; 0.05566; 1.01546; 0.01848; 0.06322
11.4; 4.720; 2.84; 0.04735; 0.95605; 0.05304; 0.06589
11.7; 4.822; 2.96; 0.04011; 0.90431; 0.08376; 0.05503
12.0; 4.918; 3.08; 0.03392; 0.86398; 0.10712; 0.03095
12.3; 5.010; 3.19; 0.02865; 0.83735; 0.11998; -0.00511
12.6; 5.098; 3.29; 0.02405; 0.82527; 0.11974; -0.04980
12.9; 5.184; 3.38; 0.01981; 0.82642; 0.10504; -0.09546
13.2; 5.270; 3.45; 0.01563; 0.83630; 0.07672; -0.13220
13.5; 5.355; 3.50; 0.01136; 0.84758; 0.03784; -0.15465
13.8; 5.441; 3.54; 0.00709; 0.85466; -0.00761; -0.16369
14.1; 5.529; 3.43; 0.00221; 0.84185; -0.05615; -0.16158
14.4; 5.620; 3.32; 0.00150; 0.82877; -0.10389; -0.15061
14.7; 5.716; 3.20; 0.00413; 0.82725; -0.14711; -0.13276
15.0; 5.815; 3.07; 0.00925; 0.83974; -0.18283; -0.10914
15.3; 5.920; 2.94; 0.01613; 0.86627; -0.20861; -0.08052
15.6; 6.029; 2.81; 0.02413; 0.91063; -0.22244; -0.04756
15.9; 6.144; 2.70; 0.03253; 0.96935; -0.22278; -0.01168
16.2; 6.265; 2.59; 0.04068; 1.03573; -0.20899; 0.02369
16.5; 6.391; 2.51; 0.04804; 1.10034; -0.18216; 0.05156
16.8; 6.523; 2.42; 0.05525; 1.13979; -0.14664; 0.05983
17.1; 6.660; 2.33; 0.06565; 1.14082; -0.11077; 0.03510
