# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.825; 2.828; 2.946
0.3; 0.117; -0.658; 2.831; 2.906
0.6; 0.230; -0.674; 2.806; 2.886
0.9; 0.345; -0.207; 2.890; 2.897
1.2; 0.464; -0.291; 2.891; 2.906
1.5; 0.590; -0.321; 2.891; 2.909
1.8; 0.724; -0.316; 2.890; 2.907
2.1; 0.863; -0.278; 2.887; 2.900
2.4; 1.003; -0.185; 2.878; 2.884
2.7; 1.141; 0.104; 2.752; 2.754
3.0; 1.275; 0.547; 2.671; 2.726
3.3; 1.402; 0.916; 2.597; 2.754
3.6; 1.520; 1.264; 2.488; 2.791
3.9; 1.630; 1.577; 2.313; 2.799
4.2; 1.732; 1.799; 2.079; 2.749
4.5; 1.828; 1.991; 1.843; 2.713
4.8; 1.918; 2.094; 1.692; 2.692
5.1; 2.003; 2.033; 1.756; 2.687
5.4; 2.087; -1.489; 1.861; 2.384
5.7; 2.175; -2.142; 2.078; 2.984
6.0; 2.269; -1.977; 2.259; 3.001
6.3; 2.368; -1.827; 2.404; 3.019
6.6; 2.472; -1.639; 2.513; 3.000
6.9; 2.583; -1.363; 2.620; 2.954
7.2; 2.698; -1.083; 2.717; 2.925
7.5; 2.817; -0.846; 2.798; 2.923
7.8; 2.938; -0.766; 2.832; 2.933
8.1; 3.059; -0.651; 2.852; 2.925
8.4; 3.180; -0.293; 2.912; 2.927
8.7; 3.300; -0.349; 2.911; 2.932
9.0; 3.424; -0.359; 2.910; 2.932
9.3; 3.552; -0.337; 2.904; 2.923
9.6; 3.683; -0.231; 2.891; 2.901
9.9; 3.815; -0.054; 2.827; 2.828
10.2; 3.946; 0.197; 2.778; 2.785
10.5; 4.073; 0.371; 2.761; 2.786
10.8; 4.196; 0.503; 2.759; 2.805
11.1; 4.314; 0.608; 2.739; 2.806
11.4; 4.427; 0.717; 2.708; 2.801
11.7; 4.535; 0.816; 2.676; 2.798
12.0; 4.639; 0.886; 2.653; 2.797
12.3; 4.738; 0.910; 2.648; 2.800
12.6; 4.834; 0.878; 2.667; 2.808
12.9; 4.928; 0.785; 2.712; 2.823
13.2; 5.020; 0.637; 2.774; 2.846
13.5; 5.112; 0.452; 2.840; 2.876
13.8; 5.203; 0.255; 2.896; 2.907
14.1; 5.296; -0.726; 2.827; 2.919
14.4; 5.391; -1.130; 2.828; 3.045
14.7; 5.490; -1.094; 2.827; 3.031
15.0; 5.593; -1.069; 2.821; 3.017
15.3; 5.699; -1.038; 2.817; 3.002
15.6; 5.810; -0.985; 2.821; 2.988
15.9; 5.925; -0.901; 2.838; 2.977
16.2; 6.043; -0.802; 2.862; 2.972
16.5; 6.165; -0.744; 2.877; 2.972
16.8; 6.287; -0.791; 2.862; 2.970
17.1; 6.408; -0.825; 2.828; 2.946
