# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.29709; -0.0; 0.0; 2.6
0.3; 0.117; 0.31310; 0.0; 0.0; 2.6
0.6; 0.230; 0.32696; 1.8; 0.0; 2.7
0.9; 0.345; 0.33527; 1.6; 0.0; 2.7
1.2; 0.464; 0.33854; 1.5; 0.0; 2.7
1.5; 0.590; 0.33834; 1.5; 0.0; 2.7
1.8; 0.724; 0.33501; 1.6; 0.0; 2.7
2.1; 0.863; 0.32725; 1.9; 0.0; 2.7
2.4; 1.003; 0.29963; 7.3; -4.5; 2.6
2.7; 1.141; 0.26700; 7.3; -3.0; 2.5
3.0; 1.275; 0.23124; 6.8; -1.3; 2.4
3.3; 1.402; 0.19434; 6.6; -0.0; 2.3
3.6; 1.520; 0.15837; 7.7; 0.0; 2.2
3.9; 1.630; 0.12592; 9.9; -1.5; 1.9
4.2; 1.732; 0.09923; 11.5; -2.5; 1.7
4.5; 1.828; 0.08146; 12.3; -2.8; 1.6
4.8; 1.918; 0.07621; 11.8; -2.5; 1.6
5.1; 2.003; 0.08304; 17.0; -20.9; 1.7
5.4; 2.087; 0.09661; 0.0; -6.3; 1.9
5.7; 2.175; 0.11519; -0.0; -5.7; 2.1
6.0; 2.269; 0.13727; -0.0; -5.1; 2.2
6.3; 2.368; 0.16167; 0.1; -4.4; 2.3
6.6; 2.472; 0.18951; -0.0; -3.1; 2.5
6.9; 2.583; 0.21861; -0.0; -2.0; 2.5
7.2; 2.698; 0.24657; -0.0; -0.9; 2.6
7.5; 2.817; 0.27015; -0.0; -0.5; 2.6
7.8; 2.938; 0.28750; -0.0; 0.0; 2.7
8.1; 3.059; 0.30036; 1.4; 0.0; 2.7
8.4; 3.180; 0.30742; 1.2; 0.0; 2.7
8.7; 3.300; 0.30971; 1.2; 0.0; 2.7
9.0; 3.424; 0.30816; 1.3; 0.0; 2.7
9.3; 3.552; 0.30288; 1.6; 0.0; 2.7
9.6; 3.683; 0.29267; 4.8; -2.6; 2.6
9.9; 3.815; 0.27839; 5.5; -2.5; 2.6
10.2; 3.946; 0.26238; 5.0; -1.4; 2.6
10.5; 4.073; 0.24470; 4.2; -0.2; 2.6
10.8; 4.196; 0.22555; 4.4; 0.0; 2.6
11.1; 4.314; 0.20653; 4.7; 0.0; 2.5
11.4; 4.427; 0.18908; 5.0; 0.0; 2.5
11.7; 4.535; 0.17415; 5.2; 0.0; 2.5
12.0; 4.639; 0.16229; 5.3; 0.0; 2.5
12.3; 4.738; 0.15371; 5.2; 0.0; 2.5
12.6; 4.834; 0.14827; 4.9; 0.0; 2.5
12.9; 4.928; 0.14539; 4.4; 0.0; 2.6
13.2; 5.020; 0.14406; 3.7; 0.0; 2.7
13.5; 5.112; 0.14329; 3.0; -0.0; 2.7
13.8; 5.203; 0.14305; 11.6; -12.3; 2.6
14.1; 5.296; 0.14438; 3.3; -5.5; 2.6
14.4; 5.391; 0.14910; 3.5; -5.6; 2.6
14.7; 5.490; 0.15804; 3.1; -5.2; 2.6
15.0; 5.593; 0.17094; 2.4; -4.3; 2.6
15.3; 5.699; 0.18730; 1.6; -3.3; 2.6
15.6; 5.810; 0.20636; 0.9; -2.1; 2.7
15.9; 5.925; 0.22686; 0.3; -1.1; 2.7
16.2; 6.043; 0.24667; 0.0; -0.5; 2.7
16.5; 6.165; 0.26413; -0.0; -0.6; 2.7
16.8; 6.287; 0.28017; -0.0; -0.7; 2.6
