# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 2.32; 0.06450; 1.13836; 0.13862; 0.11082
0.3; 0.117; 2.27; 0.07540; 1.18246; 0.17658; 0.02699
0.6; 0.230; 2.22; 0.08435; 1.21058; 0.19059; -0.07937
0.9; 0.345; 2.22; 0.08947; 1.29013; 0.17939; -0.18062
1.2; 0.464; 2.22; 0.08971; 1.31213; 0.14464; -0.25622
1.5; 0.590; 2.21; 0.08937; 1.31432; 0.09175; -0.29529
1.8; 0.724; 2.21; 0.08981; 1.31151; 0.03039; -0.29594
2.1; 0.863; 2.20; 0.09091; 1.30763; -0.02782; -0.26357
2.4; 1.003; 2.21; 0.09192; 1.29794; -0.07277; -0.20735
2.7; 1.141; 2.26; 0.09169; 1.21234; -0.09932; -0.14599
3.0; 1.275; 2.37; 0.08441; 1.14581; -0.10841; -0.08725
3.3; 1.402; 2.52; 0.07175; 1.05800; -0.10394; -0.03738
3.6; 1.520; 2.69; 0.05784; 0.95122; -0.09033; -0.00082
3.9; 1.630; 2.88; 0.04464; 0.82660; -0.07211; 0.02009
4.2; 1.732; 3.07; 0.03325; 0.69752; -0.05364; 0.02571
4.5; 1.828; 3.27; 0.02422; 0.58386; -0.03842; 0.01922
4.8; 1.918; 3.46; 0.01786; 0.51052; -0.02851; 0.00568
5.1; 2.003; 3.64; 0.01414; 0.50834; -0.02426; -0.00897
5.4; 2.087; 3.51; 0.01208; 0.54110; -0.02477; -0.01973
5.7; 2.175; 3.33; 0.01360; 0.61127; -0.02747; -0.02339
6.0; 2.269; 3.14; 0.01773; 0.68627; -0.02928; -0.01995
6.3; 2.368; 2.97; 0.02360; 0.76683; -0.02757; -0.01023
6.6; 2.472; 2.80; 0.03105; 0.84502; -0.02020; 0.00387
6.9; 2.583; 2.66; 0.03976; 0.93155; -0.00580; 0.01990
7.2; 2.698; 2.54; 0.04860; 1.01912; 0.01576; 0.03367
7.5; 2.817; 2.46; 0.05637; 1.10028; 0.04255; 0.03873
7.8; 2.938; 2.39; 0.06299; 1.15211; 0.07009; 0.02640
8.1; 3.059; 2.33; 0.06923; 1.19061; 0.09202; -0.00992
8.4; 3.180; 2.32; 0.07287; 1.25251; 0.10172; -0.06668
8.7; 3.300; 2.30; 0.07313; 1.27099; 0.09477; -0.12811
9.0; 3.424; 2.29; 0.07356; 1.27271; 0.07228; -0.17228
9.3; 3.552; 2.27; 0.07544; 1.26487; 0.04086; -0.18719
9.6; 3.683; 2.27; 0.07878; 1.25069; 0.00933; -0.17513
9.9; 3.815; 2.29; 0.08239; 1.21016; -0.01524; -0.14704
10.2; 3.946; 2.35; 0.08220; 1.18851; -0.02945; -0.11047
10.5; 4.073; 2.43; 0.07739; 1.16531; -0.03294; -0.07138
10.8; 4.196; 2.51; 0.07024; 1.13461; -0.02679; -0.03519
11.1; 4.314; 2.61; 0.06241; 1.08911; -0.01313; -0.00682
11.4; 4.427; 2.71; 0.05479; 1.03839; 0.00507; 0.01042
11.7; 4.535; 2.81; 0.04772; 0.98939; 0.02424; 0.01470
12.0; 4.639; 2.92; 0.04132; 0.94710; 0.04059; 0.00549
12.3; 4.738; 3.02; 0.03563; 0.91513; 0.05047; -0.01649
12.6; 4.834; 3.11; 0.03057; 0.89580; 0.05079; -0.04811
12.9; 4.928; 3.19; 0.02592; 0.88970; 0.03984; -0.08177
13.2; 5.020; 3.26; 0.02141; 0.89486; 0.01840; -0.10743
13.5; 5.112; 3.31; 0.01682; 0.90645; -0.01029; -0.11929
13.8; 5.203; 3.33; 0.01205; 0.91982; -0.04215; -0.11765
14.1; 5.296; 3.27; 0.00796; 0.88389; -0.07370; -0.10689
14.4; 5.391; 3.16; 0.00677; 0.89518; -0.10147; -0.08717
14.7; 5.490; 3.06; 0.00835; 0.89554; -0.12195; -0.05986
15.0; 5.593; 2.95; 0.01266; 0.90777; -0.13223; -0.02697
15.3; 5.699; 2.84; 0.01888; 0.93377; -0.12999; 0.01044
15.6; 5.810; 2.74; 0.02614; 0.97286; -0.11357; 0.05110
15.9; 5.925; 2.64; 0.03361; 1.02270; -0.08210; 0.09270
16.2; 6.043; 2.56; 0.04055; 1.07763; -0.03611; 0.13067
16.5; 6.165; 2.48; 0.04680; 1.12240; 0.02133; 0.15616
16.8; 6.287; 2.40; 0.05408; 1.13586; 0.08320; 0.15439
17.1; 6.408; 2.32; 0.06450; 1.13836; 0.13862; 0.11082
