# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.717; 2.914; 3.001
0.3; 0.110; -0.801; 2.905; 3.013
0.6; 0.226; -0.820; 2.886; 3.001
0.9; 0.348; -0.845; 2.861; 2.984
1.2; 0.478; -0.732; 2.829; 2.922
1.5; 0.615; -0.753; 2.756; 2.857
1.8; 0.761; -0.810; 2.682; 2.802
2.1; 0.909; 0.169; 2.780; 2.785
2.4; 1.055; 0.280; 2.855; 2.868
2.7; 1.194; 0.561; 2.721; 2.778
3.0; 1.324; 1.366; 2.389; 2.752
3.3; 1.442; 1.441; 2.369; 2.773
3.6; 1.551; 1.581; 2.293; 2.786
3.9; 1.652; 1.730; 2.155; 2.764
4.2; 1.746; 1.934; 1.914; 2.721
4.5; 1.834; 2.157; 1.606; 2.689
4.8; 1.917; 2.351; 1.277; 2.675
5.1; 1.994; 2.482; 0.997; 2.675
5.4; 2.068; 2.526; 0.867; 2.670
5.7; 2.142; -1.152; 0.926; 1.478
6.0; 2.218; -2.691; 1.230; 2.959
6.3; 2.300; -2.475; 1.600; 2.947
6.6; 2.387; -2.226; 1.962; 2.967
6.9; 2.480; -1.972; 2.265; 3.003
7.2; 2.579; -1.724; 2.488; 3.027
7.5; 2.684; -1.378; 2.665; 3.000
7.8; 2.794; -1.027; 2.803; 2.985
8.1; 2.908; -0.729; 2.892; 2.983
8.4; 3.026; -0.703; 2.910; 2.994
8.7; 3.148; -0.757; 2.897; 2.994
9.0; 3.275; -0.744; 2.883; 2.977
9.3; 3.405; -0.408; 2.903; 2.931
9.6; 3.537; -0.117; 2.923; 2.926
9.9; 3.668; -0.085; 2.924; 2.925
10.2; 3.800; -0.149; 2.915; 2.919
10.5; 3.930; 0.115; 2.845; 2.848
10.8; 4.057; 0.592; 2.732; 2.795
11.1; 4.178; 0.615; 2.731; 2.800
11.4; 4.294; 0.543; 2.764; 2.816
11.7; 4.407; 0.496; 2.785; 2.829
12.0; 4.516; 0.483; 2.795; 2.836
12.3; 4.622; 0.489; 2.798; 2.841
12.6; 4.726; 0.497; 2.800; 2.844
12.9; 4.826; 0.501; 2.803; 2.848
13.2; 4.924; 0.501; 2.808; 2.852
13.5; 5.019; 0.506; 2.810; 2.855
13.8; 5.111; 0.522; 2.808; 2.857
14.1; 5.200; 0.554; 2.802; 2.856
14.4; 5.287; 0.586; 2.795; 2.855
14.7; 5.372; 0.597; 2.794; 2.858
15.0; 5.455; 0.575; 2.806; 2.864
15.3; 5.539; 0.516; 2.829; 2.875
15.6; 5.621; 0.429; 2.859; 2.891
15.9; 5.704; 0.329; 2.889; 2.907
16.2; 5.787; 0.233; 2.914; 2.923
16.5; 5.869; 0.145; 2.933; 2.936
16.8; 5.953; -0.615; 2.860; 2.926
17.1; 6.038; -1.140; 2.846; 3.066
17.4; 6.126; -1.118; 2.841; 3.052
17.7; 6.217; -1.111; 2.833; 3.043
18.0; 6.311; -1.107; 2.825; 3.035
18.3; 6.408; -1.077; 2.825; 3.023
18.6; 6.508; -1.000; 2.838; 3.009
18.9; 6.611; -0.892; 2.863; 2.999
19.2; 6.715; -0.776; 2.892; 2.994
19.5; 6.822; -0.717; 2.914; 3.001
