# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 2.66; 0.02687; 1.09889; 0.07786; -0.06086
0.3; 0.110; 2.58; 0.02706; 1.13679; 0.06264; -0.09861
0.6; 0.226; 2.49; 0.02702; 1.16690; 0.03658; -0.13194
0.9; 0.348; 2.40; 0.02761; 1.19570; 0.00189; -0.15241
1.2; 0.478; 2.31; 0.02686; 1.25843; -0.03669; -0.15249
1.5; 0.615; 2.21; 0.02182; 1.29476; -0.07331; -0.12910
1.8; 0.761; 2.10; 0.01737; 1.28823; -0.10131; -0.08464
2.1; 0.909; 2.14; 0.01917; 1.29802; -0.11326; -0.02731
2.4; 1.055; 2.19; 0.02746; 1.19115; -0.10629; 0.02633
2.7; 1.194; 2.28; 0.05894; 0.94274; -0.07980; 0.05599
3.0; 1.324; 2.48; 0.06690; 0.94291; -0.04005; 0.07239
3.3; 1.442; 2.67; 0.05670; 0.90565; 0.00255; 0.08713
3.6; 1.551; 2.86; 0.04518; 0.82749; 0.04489; 0.09613
3.9; 1.652; 3.04; 0.03501; 0.73407; 0.08519; 0.09743
4.2; 1.746; 3.23; 0.02595; 0.61394; 0.12129; 0.08874
4.5; 1.834; 3.43; 0.01822; 0.48745; 0.15060; 0.06925
4.8; 1.917; 3.62; 0.01205; 0.36894; 0.17064; 0.03967
5.1; 1.994; 3.82; 0.00762; 0.27563; 0.17946; 0.00243
5.4; 2.068; 4.01; 0.00502; 0.22952; 0.17600; -0.03846
5.7; 2.142; 3.92; 0.00391; 0.24374; 0.16032; -0.07786
6.0; 2.218; 3.72; 0.00498; 0.32938; 0.13406; -0.11034
6.3; 2.300; 3.51; 0.00813; 0.44115; 0.10013; -0.13312
6.6; 2.387; 3.32; 0.01260; 0.56643; 0.06198; -0.14475
6.9; 2.480; 3.14; 0.01780; 0.68919; 0.02317; -0.14514
7.2; 2.579; 2.97; 0.02340; 0.80050; -0.01290; -0.13552
7.5; 2.684; 2.83; 0.02913; 0.90783; -0.04331; -0.11759
7.8; 2.794; 2.73; 0.03381; 1.01093; -0.06590; -0.09367
8.1; 2.908; 2.66; 0.03587; 1.09840; -0.07977; -0.06720
8.4; 3.026; 2.58; 0.03513; 1.14659; -0.08570; -0.04342
8.7; 3.148; 2.50; 0.03413; 1.16827; -0.08572; -0.02732
9.0; 3.275; 2.42; 0.03506; 1.18180; -0.08231; -0.02150
9.3; 3.405; 2.38; 0.03713; 1.21550; -0.07805; -0.02549
9.6; 3.537; 2.38; 0.03755; 1.23466; -0.07597; -0.03744
9.9; 3.668; 2.38; 0.03710; 1.22874; -0.07819; -0.05038
10.2; 3.800; 2.38; 0.04117; 1.15898; -0.08328; -0.05727
10.5; 3.930; 2.41; 0.05513; 1.05849; -0.08681; -0.05990
10.8; 4.057; 2.51; 0.06334; 1.06063; -0.08628; -0.05566
11.1; 4.178; 2.60; 0.06073; 1.07225; -0.08231; -0.04177
11.4; 4.294; 2.69; 0.05487; 1.06767; -0.07445; -0.02143
11.7; 4.407; 2.76; 0.04878; 1.05028; -0.06174; 0.00181
12.0; 4.516; 2.83; 0.04332; 1.02665; -0.04369; 0.02509
12.3; 4.622; 2.89; 0.03858; 1.00213; -0.02047; 0.04630
12.6; 4.726; 2.95; 0.03442; 0.97972; 0.00715; 0.06385
12.9; 4.826; 3.01; 0.03070; 0.96021; 0.03794; 0.07645
13.2; 4.924; 3.07; 0.02733; 0.94274; 0.07028; 0.08289
13.5; 5.019; 3.13; 0.02428; 0.92559; 0.10219; 0.08203
13.8; 5.111; 3.18; 0.02157; 0.90724; 0.13147; 0.07282
14.1; 5.200; 3.24; 0.01921; 0.88753; 0.15575; 0.05465
14.4; 5.287; 3.29; 0.01709; 0.86940; 0.17281; 0.02840
14.7; 5.372; 3.35; 0.01505; 0.85641; 0.18110; -0.00161
15.0; 5.455; 3.40; 0.01288; 0.84987; 0.18061; -0.02850
15.3; 5.539; 3.45; 0.01049; 0.84930; 0.17292; -0.04736
15.6; 5.621; 3.48; 0.00783; 0.85264; 0.16032; -0.05743
15.9; 5.704; 3.51; 0.00497; 0.85676; 0.14502; -0.06007
16.2; 5.787; 3.53; 0.00204; 0.85913; 0.12887; -0.05708
16.5; 5.869; 3.55; -0.00079; 0.85998; 0.11327; -0.05027
16.8; 5.953; 3.49; -0.00306; 0.82287; 0.09897; -0.04257
17.1; 6.038; 3.39; -0.00377; 0.83731; 0.08675; -0.03308
17.4; 6.126; 3.29; -0.00278; 0.83650; 0.07758; -0.02233
17.7; 6.217; 3.19; 0.00023; 0.84400; 0.07212; -0.01218
18.0; 6.311; 3.09; 0.00473; 0.86240; 0.07056; -0.00386
18.3; 6.408; 2.98; 0.01015; 0.89192; 0.07248; 0.00108
18.6; 6.508; 2.89; 0.01582; 0.93423; 0.07674; 0.00058
18.9; 6.611; 2.80; 0.02098; 0.98539; 0.08130; -0.00827
19.2; 6.715; 2.73; 0.02491; 1.04049; 0.08298; -0.02874
19.5; 6.822; 2.66; 0.02687; 1.09889; 0.07786; -0.06086
