# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.0600,-17.2500,0.9014,0.9014
-5.1100,-17.3000,0.8944,0.8944
-5.1100,-17.3500,0.9179,0.9179
-5.1100,-17.4000,0.9179,0.9179
-5.1600,-17.4500,0.9014,0.9014
-5.2100,-17.5000,0.8559,0.8559
-5.2100,-17.5500,0.8631,0.8631
-5.2600,-17.6000,0.8246,0.8246
-5.2600,-17.6500,0.8382,0.8382
-5.2600,-17.7000,0.8500,0.8500
-5.2600,-17.7500,0.8500,0.8500
-5.3100,-17.8000,0.8000,0.8000
-5.3100,-17.8500,0.8000,0.8000
-5.3100,-17.9000,0.8000,0.8000
-5.3100,-17.9500,0.8016,0.8016
-5.3600,-18.0000,0.7566,0.7566
-5.3600,-18.0500,0.7649,0.7649
-5.3600,-18.1000,0.7762,0.7762
-5.3600,-18.1500,0.7906,0.7906
-5.3600,-18.2000,0.8078,0.8078
-5.3600,-18.2500,0.8246,0.8246
-5.3600,-18.3000,0.8139,0.8139
-5.3600,-18.3500,0.8062,0.8062
-5.3600,-18.4000,0.8016,0.8016
-5.3600,-18.4500,0.8000,0.8000
-5.3600,-18.5000,0.8000,0.8000
-5.3600,-18.5500,0.8000,0.8000
-5.3600,-18.6000,0.8000,0.8000
-5.3600,-18.6500,0.8000,0.8000
-5.3600,-18.7000,0.8000,0.8000
-5.3600,-18.7500,0.8000,0.8000
-5.3600,-18.8000,0.8000,0.8000
-5.3100,-18.8500,0.7566,0.7566
-5.3100,-18.9000,0.7649,0.7649
-5.3100,-18.9500,0.7762,0.7762
-5.3100,-19.0000,0.7906,0.7906
-5.3100,-19.0500,0.8016,0.8016
-5.3100,-19.1000,0.8000,0.8000
-5.2600,-19.1500,0.8062,0.8062
-5.2600,-19.2000,0.8246,0.8246
-5.2600,-19.2500,0.8078,0.8078
-5.2100,-19.3000,0.8322,0.8322
-5.2100,-19.3500,0.8062,0.8062
-5.1600,-19.4000,0.8276,0.8276
-5.1100,-19.4500,0.8500,0.8500
-5.0600,-19.5000,0.8500,0.8500
-5.0100,-19.5500,0.8322,0.8322
-4.9600,-19.5500,0.8602,0.8602
-4.9100,-19.6000,0.8500,0.8500
-4.8600,-19.6000,0.8500,0.8500
-4.8100,-19.6500,0.8500,0.8500
-4.7600,-19.7000,0.8322,0.8322
-4.7100,-19.7000,0.8500,0.8500
-4.6600,-19.7000,0.8322,0.8322
-4.6600,-19.7500,0.8000,0.8000
-4.6600,-19.8000,0.7500,0.7500
-4.6100,-19.7000,0.8062,0.8062
-4.5600,-19.7000,0.7810,0.7810
-4.5100,-19.6500,0.7159,0.7159
-4.4600,-19.6500,0.6964,0.6964
-4.4100,-19.6500,0.6801,0.6801
-4.3600,-19.6500,0.6671,0.6671
-4.3100,-19.6500,0.6576,0.6576
-4.2600,-19.6500,0.6519,0.6519
-4.2100,-19.6500,0.6500,0.6500
-4.1600,-19.6500,0.6500,0.6500
-4.1100,-19.6500,0.6500,0.6500
-4.0600,-19.6500,0.6500,0.6500
-4.0100,-19.6500,0.6500,0.6500
-3.9600,-19.6500,0.6500,0.6500
-3.9100,-19.6500,0.6500,0.6500
-3.8600,-19.6500,0.6500,0.6500
-3.8100,-19.6500,0.6500,0.6500
-3.7600,-19.6500,0.6500,0.6500
-3.7100,-19.6500,0.6500,0.6500
-3.6600,-19.6500,0.6500,0.6500
-3.6100,-19.6500,0.6500,0.6500
-3.5600,-19.6500,0.6500,0.6500
