# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.6100,-10.0000,0.8902,0.8902
-0.5600,-10.0000,0.8732,0.8732
-0.5100,-9.9500,0.8944,0.8944
-0.4600,-9.9500,0.8732,0.8732
-0.4100,-9.9000,0.8944,0.8944
-0.3600,-9.9000,0.8732,0.8732
-0.3100,-9.8500,0.8944,0.8944
-0.2600,-9.8500,0.8732,0.8732
-0.2100,-9.8500,0.8544,0.8544
-0.1600,-9.8000,0.8860,0.8860
-0.1100,-9.8000,0.8732,0.8732
-0.0600,-9.7500,0.8732,0.8732
-0.0100,-9.7500,0.8860,0.8860
0.0400,-9.7500,0.8860,0.8860
0.0900,-9.7500,0.8732,0.8732
0.1400,-9.7500,0.8544,0.8544
0.1900,-9.7500,0.8382,0.8382
0.2400,-9.7000,0.8732,0.8732
0.2900,-9.7000,0.8544,0.8544
0.3400,-9.7000,0.8382,0.8382
0.3900,-9.6500,0.8732,0.8732
0.4400,-9.6500,0.8631,0.8631
0.4900,-9.6500,0.8559,0.8559
0.5400,-9.6500,0.8515,0.8515
0.5900,-9.6000,0.9000,0.9000
0.6400,-9.6000,0.8860,0.8860
0.6900,-9.6000,0.8732,0.8732
0.7400,-9.5500,0.9000,0.9000
0.7900,-9.5500,0.8860,0.8860
0.8400,-9.5500,0.8732,0.8732
0.8900,-9.5500,0.8631,0.8631
0.9400,-9.5000,0.8515,0.8515
0.9900,-9.5000,0.8559,0.8559
1.0400,-9.5000,0.8631,0.8631
1.0900,-9.5000,0.8732,0.8732
1.1400,-9.5000,0.8860,0.8860
1.1900,-9.5000,0.8732,0.8732
1.2400,-9.5000,0.8631,0.8631
1.2900,-9.5000,0.8559,0.8559
1.3400,-9.5000,0.8515,0.8515
1.3900,-9.5000,0.8382,0.8382
1.4400,-9.5000,0.8246,0.8246
1.4900,-9.5000,0.8139,0.8139
1.5400,-9.5000,0.8062,0.8062
1.5900,-9.5000,0.8016,0.8016
1.6400,-9.5000,0.8000,0.8000
1.6900,-9.5000,0.8016,0.8016
1.7400,-9.5000,0.8062,0.8062
1.7900,-9.5000,0.8139,0.8139
1.8400,-9.5000,0.8246,0.8246
1.8900,-9.5000,0.8382,0.8382
1.9400,-9.5000,0.8515,0.8515
1.9900,-9.5000,0.8559,0.8559
2.0400,-9.5000,0.8631,0.8631
2.0900,-9.5000,0.8732,0.8732
2.1400,-9.5000,0.8860,0.8860
2.1900,-9.5000,0.9000,0.9000
2.2400,-9.5000,0.9000,0.9000
2.2900,-9.5000,0.8860,0.8860
2.3400,-9.5000,0.8732,0.8732
2.3900,-9.5000,0.8631,0.8631
2.4400,-9.5000,0.8559,0.8559
2.4900,-9.5000,0.8515,0.8515
2.5400,-9.5000,0.8500,0.8500
2.5900,-9.5000,0.8500,0.8500
2.6400,-9.5500,0.9000,0.9000
2.6900,-9.5500,0.9000,0.9000
2.7400,-9.5500,0.9000,0.9000
2.7900,-9.5500,0.9000,0.9000
2.8400,-9.6000,0.9500,0.9500
2.8900,-9.6000,0.9500,0.9500
2.9400,-9.6500,1.0000,1.0000
2.9900,-9.6500,1.0000,1.0000
3.0400,-9.7000,0.9618,0.9618
3.0900,-9.7000,0.9708,0.9708
3.1400,-9.7500,0.9341,0.9341
3.1900,-9.8000,0.9014,0.9014
3.2400,-9.8000,0.9192,0.9192
3.2900,-9.8500,0.8860,0.8860
3.3400,-9.8500,0.9014,0.9014
3.3900,-9.9000,0.8559,0.8559
3.4400,-9.9000,0.8631,0.8631
3.4900,-9.9000,0.8732,0.8732
3.5400,-9.9500,0.8382,0.8382
3.5900,-9.9500,0.8544,0.8544
3.6400,-10.0000,0.8276,0.8276
3.6900,-10.0000,0.8500,0.8500
3.7400,-10.0500,0.8276,0.8276
3.7900,-10.0500,0.8500,0.8500
3.8400,-10.0500,0.8500,0.8500
3.8900,-10.1000,0.8276,0.8276
3.9400,-10.1500,0.8062,0.8062
3.9400,-10.2000,0.8139,0.8139
3.9900,-10.2500,0.8062,0.8062
4.0400,-10.3000,0.7762,0.7762
4.0900,-10.3500,0.7433,0.7433
4.1400,-10.4000,0.7159,0.7159
4.1400,-10.4500,0.7382,0.7382
4.1900,-10.5000,0.7159,0.7159
4.1900,-10.5500,0.7382,0.7382
4.2400,-10.6000,0.7159,0.7159
4.2900,-10.6500,0.6801,0.6801
4.2900,-10.7000,0.6964,0.6964
4.2900,-10.7500,0.6801,0.6801
4.3400,-10.8000,0.6576,0.6576
4.3400,-10.8500,0.6671,0.6671
4.3400,-10.9000,0.6500,0.6500
4.3900,-10.9500,0.6500,0.6500
4.3900,-11.0000,0.6500,0.6500
4.3900,-11.0500,0.6325,0.6325
4.3900,-11.1000,0.6185,0.6185
4.3900,-11.1500,0.6083,0.6083
4.4400,-11.2000,0.6519,0.6519
4.4400,-11.2500,0.6500,0.6500
4.4900,-11.3000,0.6519,0.6519
4.4900,-11.3500,0.6500,0.6500
4.5400,-11.4000,0.6021,0.6021
4.5400,-11.4500,0.6083,0.6083
4.5400,-11.5000,0.6185,0.6185
4.5400,-11.5500,0.6325,0.6325
4.5400,-11.6000,0.6500,0.6500
4.5400,-11.6500,0.6325,0.6325
4.5400,-11.7000,0.6185,0.6185
