# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6600,-2.5500,0.8000,0.8000
-1.6600,-2.5000,0.8000,0.8000
-1.6600,-2.4500,0.8000,0.8000
-1.6600,-2.4000,0.8000,0.8000
-1.6600,-2.3500,0.8000,0.8000
-1.6600,-2.3000,0.8000,0.8000
-1.6100,-2.2500,0.7517,0.7517
-1.6100,-2.2000,0.7566,0.7566
-1.6100,-2.1500,0.7649,0.7649
-1.6100,-2.1000,0.7762,0.7762
-1.6100,-2.0500,0.7906,0.7906
-1.5600,-2.0000,0.7616,0.7616
-1.5600,-1.9500,0.7826,0.7826
-1.5600,-1.9000,0.8062,0.8062
-1.5600,-1.8500,0.8276,0.8276
-1.5100,-1.8000,0.8062,0.8062
-1.5100,-1.7500,0.8322,0.8322
-1.5100,-1.7000,0.8201,0.8201
-1.4600,-1.6500,0.8322,0.8322
-1.4100,-1.6000,0.8485,0.8485
-1.3600,-1.5500,0.8485,0.8485
-1.3100,-1.5000,0.8485,0.8485
-1.2600,-1.4500,0.8515,0.8515
-1.2100,-1.4000,0.8602,0.8602
-1.1600,-1.3500,0.8746,0.8746
-1.1100,-1.3000,0.8902,0.8902
-1.0600,-1.2500,0.9014,0.9014
-1.0100,-1.2500,0.8746,0.8746
-0.9600,-1.2000,0.8944,0.8944
-0.9100,-1.1500,0.9179,0.9179
-0.8600,-1.1500,0.8944,0.8944
-0.8100,-1.1500,0.8732,0.8732
-0.7600,-1.1000,0.9014,0.9014
-0.7100,-1.0500,0.9341,0.9341
-0.6600,-1.0500,0.9179,0.9179
-0.6100,-1.0500,0.8944,0.8944
-0.5600,-1.0000,0.9192,0.9192
-0.5100,-1.0000,0.9014,0.9014
-0.4600,-1.0000,0.8860,0.8860
-0.4100,-1.0000,0.8732,0.8732
-0.3600,-0.9500,0.9124,0.9124
-0.3100,-0.9500,0.9014,0.9014
-0.2600,-0.9500,0.8860,0.8860
-0.2100,-0.9500,0.8732,0.8732
-0.1600,-0.9500,0.8631,0.8631
-0.1100,-0.9000,0.9055,0.9055
-0.0600,-0.9000,0.9014,0.9014
-0.0100,-0.9000,0.9000,0.9000
0.0400,-0.9000,0.9000,0.9000
0.0900,-0.9000,0.9000,0.9000
0.1400,-0.9000,0.9000,0.9000
0.1900,-0.9000,0.9000,0.9000
0.2400,-0.8500,0.9500,0.9500
0.2900,-0.8500,0.9500,0.9500
0.3400,-0.8500,0.9500,0.9500
0.3900,-0.8500,0.9500,0.9500
0.4400,-0.8500,0.9500,0.9500
0.4900,-0.8500,0.9500,0.9500
0.5400,-0.8500,0.9500,0.9500
0.5900,-0.8500,0.9513,0.9513
0.6400,-0.8500,0.9552,0.9552
0.6900,-0.8000,1.0112,1.0112
0.7400,-0.8000,1.0198,1.0198
0.7900,-0.8000,1.0308,1.0308
0.8400,-0.8000,1.0440,1.0440
0.8900,-0.8000,1.0500,1.0500
0.9400,-0.8000,1.0500,1.0500
0.9900,-0.8000,1.0500,1.0500
1.0400,-0.8000,1.0512,1.0512
1.0900,-0.8000,1.0548,1.0548
1.1400,-0.8500,1.0112,1.0112
1.1900,-0.8500,1.0198,1.0198
1.2400,-0.8500,1.0308,1.0308
1.2900,-0.8500,1.0440,1.0440
1.3400,-0.9000,1.0050,1.0050
1.3900,-0.9000,1.0112,1.0112
1.4400,-0.9500,0.9708,0.9708
1.4900,-0.9500,0.9823,0.9823
1.5400,-0.9500,0.9962,0.9962
1.5900,-0.9500,1.0124,1.0124
1.6400,-0.9500,1.0308,1.0308
1.6900,-0.9500,1.0440,1.0440
1.7400,-1.0000,1.0124,1.0124
1.7900,-1.0000,1.0308,1.0308
1.8400,-1.0500,1.0062,1.0062
1.8900,-1.0500,1.0296,1.0296
1.9400,-1.0500,1.0440,1.0440
1.9900,-1.0500,1.0595,1.0595
2.0400,-1.1000,1.0198,1.0198
2.0900,-1.1000,1.0308,1.0308
2.1400,-1.1000,1.0440,1.0440
2.1900,-1.1500,1.0112,1.0112
2.2400,-1.2000,0.9708,0.9708
2.2900,-1.2000,0.9823,0.9823
2.3400,-1.2500,0.9487,0.9487
2.3900,-1.2500,0.9657,0.9657
2.4400,-1.3000,0.9394,0.9394
2.4900,-1.3000,0.9618,0.9618
2.5400,-1.3000,0.9849,0.9849
2.5900,-1.3500,0.9618,0.9618
2.6400,-1.3500,0.9849,0.9849
2.6900,-1.4000,0.9618,0.9618
2.7400,-1.4000,0.9849,0.9849
2.7900,-1.4000,0.9862,0.9862
2.8400,-1.4500,0.9862,0.9862
2.8900,-1.5000,0.9708,0.9708
2.9400,-1.5000,0.9925,0.9925
2.9900,-1.5500,0.9862,0.9862
3.0400,-1.5500,0.9708,0.9708
3.0900,-1.6000,0.9862,0.9862
3.1400,-1.6500,0.9862,0.9862
3.1900,-1.7000,0.9708,0.9708
3.2400,-1.7000,0.9925,0.9925
3.2900,-1.7500,0.9925,0.9925
3.3400,-1.8000,0.9899,0.9899
3.3900,-1.8500,0.9899,0.9899
3.4400,-1.8500,0.9899,0.9899
3.4900,-1.9000,0.9925,0.9925
3.5400,-1.9000,0.9605,0.9605
3.5900,-1.9500,0.9708,0.9708
3.6400,-2.0000,0.9862,0.9862
3.6900,-2.0500,1.0062,1.0062
3.7400,-2.1000,1.0259,1.0259
3.7900,-2.1000,1.0124,1.0124
3.8400,-2.1500,1.0308,1.0308
3.8900,-2.2000,1.0404,1.0404
3.9400,-2.2500,1.0548,1.0548
3.9900,-2.3000,1.0607,1.0607
4.0400,-2.3500,1.0607,1.0607
4.0900,-2.4000,1.0607,1.0607
4.1400,-2.4500,1.0607,1.0607
4.1900,-2.5000,1.0512,1.0512
4.1900,-2.5500,1.0308,1.0308
4.2400,-2.6000,1.0404,1.0404
4.2900,-2.6500,1.0404,1.0404
4.2900,-2.7000,1.0296,1.0296
4.3400,-2.7500,1.0404,1.0404
4.3400,-2.8000,1.0124,1.0124
