# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.1100,2.2900,0.1500,0.1500
-3.1100,2.3400,0.1581,0.1581
-3.1100,2.3900,0.1581,0.1581
-3.0600,2.4400,0.1803,0.1803
-3.0100,2.4900,0.1803,0.1803
-2.9600,2.4900,0.1803,0.1803
-2.9100,2.5400,0.2062,0.2062
-2.8600,2.5400,0.2000,0.2000
-2.8100,2.5900,0.2500,0.2500
-2.7600,2.5900,0.2550,0.2550
-2.7100,2.6400,0.3162,0.3162
-2.6600,2.6400,0.3354,0.3354
-2.6100,2.6900,0.4031,0.4031
-2.5600,2.6900,0.4301,0.4301
-2.5100,2.7400,0.4924,0.4924
-2.4600,2.7400,0.5315,0.5315
-2.4100,2.7400,0.5657,0.5657
-2.3600,2.7400,0.6021,0.6021
-2.3100,2.7400,0.6403,0.6403
-2.2600,2.7400,0.6801,0.6801
-2.2100,2.7400,0.7211,0.7211
-2.1600,2.6900,0.7382,0.7382
-2.1100,2.6400,0.7616,0.7616
-2.0600,2.6400,0.8078,0.8078
-2.0600,2.5900,0.7906,0.7906
-2.0600,2.5400,0.7762,0.7762
-2.1100,2.4900,0.7159,0.7159
-2.1100,2.4400,0.7071,0.7071
-2.1100,2.3900,0.7018,0.7018
-2.1100,2.3400,0.7000,0.7000
-2.1600,2.2900,0.6500,0.6500
-2.2100,2.2400,0.6000,0.6000
-2.2600,2.1900,0.5523,0.5523
-2.3100,2.1400,0.5099,0.5099
-2.3100,2.0900,0.5220,0.5220
-2.3600,2.0400,0.4924,0.4924
-2.3600,1.9900,0.5148,0.5148
-2.3600,1.9400,0.5408,0.5408
-2.3600,1.8900,0.5701,0.5701
-2.3600,1.8400,0.5590,0.5590
-2.3600,1.7900,0.5385,0.5385
-2.3600,1.7400,0.5220,0.5220
-2.4100,1.6900,0.5590,0.5590
-2.4600,1.6900,0.5852,0.5852
-2.4600,1.6400,0.5701,0.5701
-2.4600,1.5900,0.5590,0.5590
-2.4600,1.5400,0.5523,0.5523
-2.4600,1.4900,0.5500,0.5500
-2.4600,1.4400,0.5500,0.5500
-2.4600,1.3900,0.5523,0.5523
-2.4600,1.3400,0.5590,0.5590
-2.4600,1.2900,0.5701,0.5701
-2.4600,1.2400,0.5852,0.5852
-2.4600,1.1900,0.6042,0.6042
-2.4600,1.1400,0.6265,0.6265
-2.4600,1.0900,0.6519,0.6519
-2.4600,1.0400,0.6801,0.6801
-2.4600,0.9900,0.7106,0.7106
-2.4600,0.9400,0.7433,0.7433
-2.4100,0.8900,0.8139,0.8139
-2.4100,0.8400,0.8485,0.8485
-2.4100,0.7900,0.8732,0.8732
-2.4100,0.7400,0.8860,0.8860
-2.4600,0.7400,0.8902,0.8902
-2.5100,0.7400,0.8559,0.8559
-2.5600,0.7900,0.7906,0.7906
-2.6100,0.7900,0.7632,0.7632
-2.6600,0.8400,0.6946,0.6946
-2.7100,0.8400,0.6708,0.6708
-2.7600,0.8900,0.6042,0.6042
-2.8100,0.8900,0.5852,0.5852
-2.8600,0.9400,0.5220,0.5220
-2.9100,0.9400,0.5000,0.5000
-2.9600,0.9900,0.4500,0.4500
-3.0100,1.0400,0.4000,0.4000
-3.0600,1.0900,0.3500,0.3500
-3.1100,1.0900,0.3041,0.3041
-3.1600,1.1400,0.2693,0.2693
-3.2100,1.1900,0.2500,0.2500
-3.2600,1.2400,0.2000,0.2000
-3.3100,1.2900,0.1500,0.1500
-3.3100,1.3400,0.1500,0.1500
-3.3100,1.3900,0.1500,0.1500
-3.3100,1.4400,0.1500,0.1500
-3.3100,1.4900,0.1500,0.1500
-3.3100,1.5400,0.1500,0.1500
-3.3100,1.5900,0.1581,0.1581
-3.3100,1.6400,0.1581,0.1581
-3.2600,1.6900,0.2000,0.2000
-3.2100,1.6900,0.2236,0.2236
-3.1600,1.7400,0.2550,0.2550
-3.1100,1.7900,0.3000,0.3000
-3.0600,1.7900,0.3000,0.3000
-3.0100,1.8400,0.3500,0.3500
-2.9600,1.8400,0.3536,0.3536
-2.9100,1.8400,0.3640,0.3640
-2.8600,1.8400,0.3808,0.3808
-2.8100,1.8400,0.4000,0.4000
-2.7600,1.8400,0.4031,0.4031
-2.7100,1.8400,0.4123,0.4123
-2.6600,1.8400,0.4272,0.4272
-2.6100,1.7900,0.4924,0.4924
-2.5600,1.7400,0.5148,0.5148
-2.5100,1.6900,0.5385,0.5385
-3.0600,1.8900,0.3500,0.3500
-3.1100,1.9400,0.2915,0.2915
-3.1600,1.9900,0.2236,0.2236
-3.1600,2.0400,0.2062,0.2062
-3.1600,2.0900,0.2000,0.2000
-3.1600,2.1400,0.2000,0.2000
-3.1600,2.1900,0.2000,0.2000
-3.1600,2.2400,0.1803,0.1803
-2.3600,0.7400,0.8382,0.8382
-2.3100,0.7400,0.7906,0.7906
-2.3100,0.6900,0.8078,0.8078
-2.3100,0.6400,0.8276,0.8276
-2.3100,0.5900,0.8500,0.8500
-2.3100,0.5400,0.8062,0.8062
-2.2600,0.4900,0.7649,0.7649
-2.2600,0.4400,0.7159,0.7159
-2.2600,0.3900,0.6671,0.6671
-2.3100,0.3900,0.6576,0.6576
-2.3600,0.3400,0.6021,0.6021
-2.4100,0.2900,0.5500,0.5500
-2.4600,0.2400,0.5000,0.5000
-2.5100,0.1900,0.4500,0.4500
-2.5600,0.1400,0.4031,0.4031
-2.6100,0.0900,0.3640,0.3640
-2.6600,0.0400,0.3354,0.3354
-2.7100,-0.0100,0.3162,0.3162
-2.7100,-0.0600,0.2828,0.2828
-2.7100,-0.1100,0.2500,0.2500
-2.7100,-0.1600,0.2236,0.2236
-2.7100,-0.2100,0.2062,0.2062
-2.7100,-0.2600,0.2000,0.2000
-2.6600,-0.3100,0.1500,0.1500
-2.6600,-0.3600,0.1500,0.1500
-2.6600,-0.4100,0.1414,0.1414
-2.6100,-0.4600,0.1118,0.1118
-2.5600,-0.4600,0.0707,0.0707
-2.5100,-0.5100,0.1000,0.1000
-2.4600,-0.5100,0.1118,0.1118
-2.4100,-0.5100,0.1414,0.1414
-2.3600,-0.5100,0.1803,0.1803
-2.3100,-0.5100,0.2236,0.2236
-2.2600,-0.5100,0.2500,0.2500
-2.2100,-0.5100,0.2693,0.2693
-2.1600,-0.5100,0.2915,0.2915
-2.1100,-0.4600,0.3354,0.3354
-2.0600,-0.4100,0.3640,0.3640
-2.0100,-0.3600,0.4031,0.4031
-1.9600,-0.3100,0.4500,0.4500
-1.9100,-0.2600,0.5000,0.5000
-1.8600,-0.2100,0.5523,0.5523
-1.8100,-0.1600,0.6083,0.6083
-1.8100,-0.1100,0.6185,0.6185
-1.7600,-0.1100,0.6671,0.6671
-1.7100,-0.1100,0.7159,0.7159
-1.6600,-0.1100,0.6946,0.6946
-1.6100,-0.1600,0.7159,0.7159
-1.5600,-0.1600,0.6964,0.6964
-1.5100,-0.1600,0.6801,0.6801
-1.4600,-0.1600,0.6671,0.6671
-1.4100,-0.1600,0.6576,0.6576
-1.3600,-0.1600,0.6519,0.6519
-1.3100,-0.1600,0.6500,0.6500
-1.2600,-0.1600,0.6519,0.6519
-1.2100,-0.1600,0.6576,0.6576
-1.1600,-0.1600,0.6671,0.6671
-1.1100,-0.1600,0.6801,0.6801
-1.0600,-0.1600,0.6964,0.6964
-1.0600,-0.1100,0.6500,0.6500
-1.0600,-0.0600,0.6021,0.6021
-1.0600,-0.0100,0.5523,0.5523
-1.0600,0.0400,0.5025,0.5025
-1.0600,0.0900,0.4528,0.4528
-1.0600,0.1400,0.4031,0.4031
-1.1100,0.1900,0.3500,0.3500
-1.1100,0.2400,0.3000,0.3000
-1.1100,0.2900,0.2500,0.2500
-1.1100,0.3400,0.2000,0.2000
-1.1100,0.3900,0.1500,0.1500
-1.1100,0.4400,0.1000,0.1000
-1.1600,0.4400,0.1118,0.1118
