# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.7200,-2.8000,1.0512,1.0512
-1.7200,-2.7500,1.0308,1.0308
-1.7200,-2.7000,1.0124,1.0124
-1.7200,-2.6500,0.9962,0.9962
-1.7200,-2.6000,0.9823,0.9823
-1.7700,-2.5500,1.0198,1.0198
-1.7700,-2.5000,1.0112,1.0112
-1.7700,-2.4500,1.0050,1.0050
-1.7700,-2.4000,1.0012,1.0012
-1.7200,-2.3500,0.9500,0.9500
-1.7200,-2.3000,0.9500,0.9500
-1.7200,-2.2500,0.9500,0.9500
-1.7200,-2.2000,0.9500,0.9500
-1.7200,-2.1500,0.9500,0.9500
-1.7200,-2.1000,0.9500,0.9500
-1.7200,-2.0500,0.9500,0.9500
-1.6700,-2.0000,0.9000,0.9000
-1.6700,-1.9500,0.9000,0.9000
-1.6700,-1.9000,0.9014,0.9014
-1.6700,-1.8500,0.9055,0.9055
-1.6700,-1.8000,0.9124,0.9124
-1.6700,-1.7500,0.9220,0.9220
-1.6700,-1.7000,0.9341,0.9341
-1.6700,-1.6500,0.9341,0.9341
-1.6700,-1.6000,0.9220,0.9220
-1.6700,-1.5500,0.9124,0.9124
-1.6700,-1.5000,0.9055,0.9055
-1.6700,-1.4500,0.9014,0.9014
-1.6200,-1.4000,0.9487,0.9487
-1.6200,-1.3500,0.9341,0.9341
-1.6200,-1.3000,0.9220,0.9220
-1.5700,-1.2500,0.9618,0.9618
-1.5700,-1.2000,0.9552,0.9552
-1.5200,-1.1500,1.0012,1.0012
-1.4700,-1.1000,1.0308,1.0308
-1.4200,-1.0500,1.0259,1.0259
-1.3700,-1.0000,1.0259,1.0259
-1.3200,-0.9500,1.0062,1.0062
-1.2700,-0.9000,0.9849,0.9849
-1.2200,-0.9000,0.9899,0.9899
-1.1700,-0.8500,0.9849,0.9849
-1.1200,-0.8000,0.9618,0.9618
-1.0700,-0.7500,0.9434,0.9434
-1.0200,-0.7000,0.9301,0.9301
-0.9700,-0.7000,0.9192,0.9192
-0.9200,-0.6500,0.9220,0.9220
-0.8700,-0.6000,0.9301,0.9301
-0.8200,-0.5500,0.9000,0.9000
-0.7700,-0.5500,0.9014,0.9014
-0.7200,-0.5500,0.8944,0.8944
-0.6700,-0.5500,0.8732,0.8732
-0.6200,-0.5000,0.8732,0.8732
-0.5700,-0.5000,0.8860,0.8860
-0.5200,-0.5000,0.8732,0.8732
-0.4700,-0.5000,0.8631,0.8631
