# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.210; 2.719; 2.727
0.3; 0.169; -0.660; 2.544; 2.628
0.6; 0.331; -0.571; 2.473; 2.538
0.9; 0.501; -0.648; 2.340; 2.428
1.2; 0.694; -0.663; 2.184; 2.282
1.5; 0.911; -0.639; 2.019; 2.118
1.8; 1.133; -0.234; 2.124; 2.137
2.1; 1.343; -0.224; 2.197; 2.208
2.4; 1.541; -0.206; 2.284; 2.294
2.7; 1.729; -0.173; 2.387; 2.393
3.0; 1.907; 0.341; 2.481; 2.504
3.3; 2.069; 1.123; 2.105; 2.386
3.6; 2.209; 2.175; 1.283; 2.525
3.9; 2.328; 2.755; 0.186; 2.761
4.2; 2.431; 2.504; -1.034; 2.709
4.5; 2.525; 1.950; -1.891; 2.717
4.8; 2.613; 0.846; -2.076; 2.242
5.1; 2.703; -2.479; -1.336; 2.816
5.4; 2.802; -2.798; -0.133; 2.801
5.7; 2.913; -2.681; 0.985; 2.856
6.0; 3.039; -2.258; 1.729; 2.844
6.3; 3.181; -1.462; 2.136; 2.588
6.6; 3.338; -0.881; 2.393; 2.550
6.9; 3.506; -0.696; 2.505; 2.600
7.2; 3.683; -0.256; 2.691; 2.703
7.5; 3.863; -0.400; 2.678; 2.708
7.8; 4.045; -0.285; 2.723; 2.738
8.1; 4.222; -0.128; 2.820; 2.823
8.4; 4.393; -0.202; 2.836; 2.843
8.7; 4.558; -0.174; 2.843; 2.848
9.0; 4.718; -0.074; 2.841; 2.842
9.3; 4.871; 0.054; 2.715; 2.715
9.6; 5.016; 0.428; 2.631; 2.665
9.9; 5.148; 0.839; 2.576; 2.709
10.2; 5.268; 1.195; 2.490; 2.762
10.5; 5.376; 1.533; 2.336; 2.794
10.8; 5.475; 1.723; 2.172; 2.772
11.1; 5.567; 1.874; 1.995; 2.737
11.4; 5.655; 1.977; 1.857; 2.713
11.7; 5.741; 1.998; 1.815; 2.700
12.0; 5.828; -0.385; 1.732; 1.774
12.3; 5.919; -2.310; 1.808; 2.933
12.6; 6.018; -2.242; 1.878; 2.925
12.9; 6.126; -2.182; 1.957; 2.931
13.2; 6.243; -2.111; 2.013; 2.917
13.5; 6.372; -1.854; 2.066; 2.776
13.8; 6.515; -1.485; 2.146; 2.610
14.1; 6.671; -0.897; 2.421; 2.582
14.4; 6.841; -0.990; 2.468; 2.660
14.7; 7.015; -0.210; 2.719; 2.727
