# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 2.35; -0.05726; -0.64462; -0.12939; -0.01747
0.3; 0.112; 2.60; -0.04772; -0.67661; -0.13362; 0.08094
0.6; 0.217; 2.80; -0.04339; -0.75607; -0.11532; 0.13216
0.9; 0.319; 2.92; -0.04144; -0.92937; -0.08775; 0.13830
1.2; 0.421; 2.87; -0.03554; -1.06143; -0.06184; 0.11070
1.5; 0.526; 2.81; -0.02847; -1.11311; -0.04528; 0.06251
1.8; 0.633; 2.74; -0.02194; -1.12072; -0.04275; 0.00336
2.1; 0.742; 2.73; -0.01921; -1.09103; -0.05690; -0.05777
2.4; 0.851; 2.75; -0.02604; -0.93113; -0.08783; -0.10476
2.7; 0.956; 2.88; -0.03518; -0.81409; -0.13169; -0.12715
3.0; 1.054; 3.06; -0.03231; -0.72216; -0.17871; -0.12570
3.3; 1.145; 3.24; -0.02568; -0.62792; -0.21914; -0.09804
3.6; 1.230; 3.30; -0.02053; -0.54820; -0.24549; -0.04310
3.9; 1.314; 3.10; -0.02036; -0.56427; -0.25287; 0.03251
4.2; 1.402; 2.92; -0.02607; -0.65957; -0.23942; 0.11781
4.5; 1.497; 2.74; -0.03482; -0.79260; -0.20556; 0.19444
4.8; 1.601; 2.61; -0.04449; -0.94672; -0.15531; 0.24368
5.1; 1.713; 2.53; -0.05179; -1.08918; -0.09642; 0.25784
5.4; 1.832; 2.47; -0.05474; -1.17190; -0.03794; 0.24019
5.7; 1.956; 2.44; -0.05412; -1.22818; 0.01214; 0.19836
6.0; 2.082; 2.38; -0.05301; -1.21723; 0.04796; 0.14152
6.3; 2.213; 2.30; -0.06038; -1.14835; 0.06479; 0.07975
6.6; 2.344; 2.39; -0.07177; -1.10066; 0.06037; 0.02689
6.9; 2.467; 2.57; -0.06372; -0.94274; 0.04409; 0.00297
7.2; 2.581; 2.77; -0.04940; -0.82509; 0.02888; 0.00907
7.5; 2.690; 2.76; -0.04380; -0.79482; 0.02119; 0.03457
7.8; 2.803; 2.57; -0.04860; -0.86079; 0.02251; 0.06865
8.1; 2.926; 2.40; -0.06071; -0.93539; 0.03305; 0.11331
8.4; 3.058; 2.27; -0.07605; -1.03988; 0.05462; 0.16556
8.7; 3.200; 2.19; -0.09067; -1.16079; 0.08785; 0.21038
9.0; 3.352; 2.09; -0.10488; -1.21538; 0.12878; 0.23253
9.3; 3.513; 2.02; -0.11897; -1.27743; 0.16701; 0.21767
9.6; 3.675; 2.06; -0.12310; -1.39363; 0.19009; 0.16134
9.9; 3.833; 2.08; -0.11942; -1.40162; 0.19039; 0.07979
10.2; 3.987; 2.10; -0.11540; -1.38741; 0.16312; -0.01720
10.5; 4.138; 2.14; -0.11133; -1.35341; 0.10537; -0.12232
10.8; 4.282; 2.26; -0.09586; -1.12071; 0.02249; -0.20398
11.1; 4.413; 2.51; -0.06383; -0.79321; -0.06890; -0.24324
11.4; 4.527; 2.81; -0.01427; -0.07814; -0.14535; -0.20815
11.7; 4.629; 2.93; 0.02520; 0.73260; -0.18839; -0.09696
12.0; 4.728; 2.93; 0.02994; 1.07340; -0.18699; 0.05211
12.3; 4.829; 2.88; 0.01913; 1.16921; -0.13984; 0.22038
12.6; 4.941; 2.67; 0.02807; 0.65595; -0.04425; 0.36173
12.9; 5.063; 2.64; -0.02664; -0.56885; 0.07323; 0.37766
13.2; 5.185; 2.65; -0.04663; -1.09159; 0.17388; 0.32623
13.5; 5.307; 2.63; -0.04120; -1.22185; 0.25163; 0.24770
13.8; 5.433; 2.56; -0.02722; -1.27427; 0.30724; 0.16473
14.1; 5.564; 2.45; -0.00194; -1.41884; 0.34180; 0.07550
14.4; 5.706; 2.28; 0.01452; -1.15479; 0.35820; 0.00618
14.7; 5.865; 2.07; 0.00916; -1.08961; 0.35459; -0.05203
15.0; 6.042; 1.91; -0.01173; -1.20503; 0.32432; -0.11568
15.3; 6.240; 1.76; -0.04742; -1.28829; 0.26050; -0.18178
15.6; 6.439; 1.87; -0.06326; -1.57080; 0.16152; -0.24746
15.9; 6.618; 1.97; -0.04633; -1.57080; 0.05491; -0.26327
16.2; 6.774; 2.05; -0.02390; -1.54016; -0.03307; -0.22793
16.5; 6.914; 2.09; -0.03154; -1.11476; -0.09384; -0.14533
16.8; 7.039; 2.35; -0.05726; -0.64462; -0.12939; -0.01747
