# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 0.396; -2.652; 2.681
0.3; 0.126; 0.643; -2.642; 2.719
0.6; 0.247; 0.812; -2.643; 2.765
0.9; 0.363; 0.923; -2.626; 2.784
1.2; 0.475; 0.973; -2.609; 2.785
1.5; 0.582; 0.980; -2.610; 2.788
1.8; 0.684; 0.928; -2.638; 2.796
2.1; 0.783; 0.804; -2.697; 2.814
2.4; 0.880; 0.611; -2.776; 2.843
2.7; 0.975; 0.373; -2.856; 2.880
3.0; 1.068; 0.133; -2.915; 2.918
3.3; 1.160; -0.125; -2.944; 2.947
3.6; 1.253; -0.913; -2.893; 3.034
3.9; 1.347; -0.869; -2.902; 3.029
4.2; 1.441; -0.882; -2.898; 3.029
4.5; 1.539; -0.904; -2.886; 3.024
4.8; 1.641; -0.953; -2.864; 3.018
5.1; 1.750; -1.044; -2.824; 3.011
5.4; 1.866; -1.076; -2.775; 2.976
5.7; 1.989; -1.007; -2.731; 2.911
6.0; 2.115; 0.293; -2.868; 2.883
6.3; 2.241; 0.016; -2.824; 2.824
6.6; 2.361; 1.416; -2.364; 2.755
6.9; 2.473; 1.665; -2.221; 2.776
7.2; 2.578; 0.950; -2.257; 2.449
7.5; 2.686; -1.880; -2.282; 2.957
7.8; 2.801; -1.622; -2.399; 2.896
8.1; 2.926; -1.325; -2.504; 2.833
8.4; 3.060; -0.991; -2.628; 2.808
8.7; 3.204; -0.781; -2.729; 2.838
9.0; 3.359; -0.908; -2.681; 2.831
9.3; 3.520; -0.261; -2.833; 2.845
9.6; 3.680; -0.230; -2.868; 2.877
9.9; 3.836; -0.223; -2.870; 2.878
10.2; 3.989; -0.095; -2.826; 2.828
10.5; 4.134; 0.409; -2.651; 2.682
10.8; 4.269; 1.105; -2.468; 2.704
11.1; 4.391; 1.788; -2.095; 2.754
11.4; 4.500; 2.296; -1.389; 2.683
11.7; 4.598; 2.720; -0.423; 2.753
12.0; 4.687; 2.655; 0.629; 2.729
12.3; 4.771; 2.268; 1.414; 2.673
12.6; 4.856; -2.294; 1.345; 2.659
12.9; 4.948; -2.785; 0.559; 2.840
13.2; 5.051; -2.829; -0.453; 2.865
13.5; 5.168; -2.562; -1.333; 2.888
13.8; 5.300; -2.137; -1.874; 2.842
14.1; 5.449; -1.458; -2.184; 2.626
14.4; 5.611; -0.901; -2.422; 2.585
14.7; 5.785; -0.690; -2.539; 2.631
15.0; 5.965; -0.186; -2.746; 2.752
15.3; 6.143; -0.144; -2.830; 2.833
15.6; 6.314; -0.183; -2.842; 2.848
15.9; 6.474; -0.125; -2.845; 2.847
16.2; 6.619; -0.054; -2.810; 2.810
16.5; 6.755; 0.090; -2.696; 2.698
16.8; 6.885; 0.396; -2.652; 2.681
