# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.41890; 0.4; 0.0; 2.4
0.3; 0.169; 0.41890; 0.6; 0.0; 2.3
0.6; 0.331; 0.41890; 0.2; 0.0; 2.2
0.9; 0.501; 0.41890; 0.1; 0.0; 2.0
1.2; 0.694; 0.41890; 0.0; 0.0; 1.9
1.5; 0.911; 0.41890; 1.5; 0.0; 2.0
1.8; 1.133; 0.41890; 1.7; 0.0; 2.1
2.1; 1.343; 0.41890; 1.8; 0.0; 2.1
2.4; 1.541; 0.41890; 2.0; 0.0; 2.2
2.7; 1.729; 0.38755; 14.2; -10.3; 2.3
3.0; 1.907; 0.26671; 21.7; -15.4; 2.0
3.3; 2.069; 0.12502; 20.1; -10.5; 1.2
3.6; 2.209; 0.01911; 16.7; -5.2; 0.2
3.9; 2.328; -0.05275; 12.7; -2.1; -1.0
4.2; 2.431; -0.09337; 9.6; -0.8; -1.8
4.5; 2.525; -0.10081; 4.9; 0.0; -1.9
4.8; 2.613; -0.07155; 0.0; -7.9; -1.2
5.1; 2.703; -0.00868; -0.0; -9.4; -0.1
5.4; 2.802; 0.07623; -0.0; -9.0; 0.9
5.7; 2.913; 0.16532; -0.0; -7.0; 1.6
6.0; 3.039; 0.25111; -0.0; -3.6; 2.0
6.3; 3.181; 0.32479; -0.0; -1.0; 2.2
6.6; 3.338; 0.37880; -0.0; 0.0; 2.3
6.9; 3.506; 0.41196; 1.9; 0.0; 2.5
7.2; 3.683; 0.41890; 1.4; 0.0; 2.5
7.5; 3.863; 0.41890; 1.9; 0.0; 2.5
7.8; 4.045; 0.41890; 2.5; 0.0; 2.6
8.1; 4.222; 0.41156; 2.2; 0.0; 2.7
8.4; 4.393; 0.39400; 2.2; 0.0; 2.7
8.7; 4.558; 0.37132; 2.5; 0.0; 2.7
9.0; 4.718; 0.33659; 8.8; -6.0; 2.5
9.3; 4.871; 0.29264; 10.0; -6.0; 2.5
9.6; 5.016; 0.24998; 8.4; -3.1; 2.4
9.9; 5.148; 0.21035; 7.3; -0.9; 2.3
10.2; 5.268; 0.17267; 7.5; 0.0; 2.2
10.5; 5.376; 0.14232; 8.7; -0.5; 2.0
10.8; 5.475; 0.11679; 10.2; -1.6; 1.9
11.1; 5.567; 0.09747; 11.2; -2.1; 1.7
11.4; 5.655; 0.08576; 11.4; -2.3; 1.7
11.7; 5.741; 0.08327; 41.0; -40.8; 1.6
12.0; 5.828; 0.08904; 0.0; -7.1; 1.7
12.3; 5.919; 0.10346; -0.0; -6.9; 1.8
12.6; 6.018; 0.12620; -0.0; -6.6; 1.8
12.9; 6.126; 0.15677; -0.0; -6.3; 1.9
13.2; 6.243; 0.19744; -0.0; -5.3; 1.9
13.5; 6.372; 0.24950; -0.0; -3.7; 2.0
13.8; 6.515; 0.31811; -0.0; -1.1; 2.3
14.1; 6.671; 0.38080; -0.0; -1.1; 2.3
14.4; 6.841; 0.41890; 2.1; 0.0; 2.5
