# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.30198; -0.0; -0.4; 2.6
0.3; 0.141; 0.32194; -0.0; 0.0; 2.6
0.6; 0.285; 0.33941; 1.4; 0.0; 2.7
0.9; 0.431; 0.34963; 1.8; 0.0; 2.7
1.2; 0.580; 0.35228; 1.6; 0.0; 2.7
1.5; 0.730; 0.34953; 1.7; 0.0; 2.7
1.8; 0.880; 0.34206; 1.8; 0.0; 2.7
2.1; 1.030; 0.32873; 4.1; -1.9; 2.7
2.4; 1.177; 0.29393; 8.1; -4.8; 2.5
2.7; 1.319; 0.25403; 7.8; -2.9; 2.4
3.0; 1.453; 0.21057; 7.7; -1.3; 2.3
3.3; 1.577; 0.16583; 8.4; -0.6; 2.1
3.6; 1.691; 0.12069; 12.0; -3.0; 1.8
3.9; 1.796; 0.07886; 14.4; -4.4; 1.3
4.2; 1.892; 0.04365; 15.9; -4.8; 0.8
4.5; 1.980; 0.01853; 16.5; -4.8; 0.4
4.8; 2.062; 0.00783; 27.7; -18.8; 0.2
5.1; 2.140; 0.01404; 0.0; -9.6; 0.3
5.4; 2.219; 0.03597; -0.0; -9.1; 0.8
5.7; 2.304; 0.06913; -0.0; -8.2; 1.3
6.0; 2.397; 0.10885; -0.0; -7.0; 1.7
6.3; 2.497; 0.15095; -0.0; -5.9; 2.0
6.6; 2.606; 0.19431; -0.0; -4.0; 2.3
6.9; 2.724; 0.23748; -0.0; -2.2; 2.4
7.2; 2.850; 0.27663; -0.0; -0.8; 2.5
7.5; 2.984; 0.30664; -0.0; -0.3; 2.6
7.8; 3.123; 0.32716; 1.1; 0.0; 2.6
8.1; 3.267; 0.33755; 1.8; 0.0; 2.7
8.4; 3.411; 0.33898; 1.7; 0.0; 2.7
8.7; 3.554; 0.33483; 1.7; 0.0; 2.7
9.0; 3.698; 0.32762; 1.9; 0.0; 2.7
9.3; 3.841; 0.31620; 4.8; -2.7; 2.6
9.6; 3.982; 0.29460; 6.9; -4.0; 2.6
9.9; 4.119; 0.27199; 6.3; -2.6; 2.6
10.2; 4.252; 0.24910; 5.3; -1.0; 2.5
10.5; 4.379; 0.22531; 4.8; 0.0; 2.5
10.8; 4.499; 0.20245; 5.3; 0.0; 2.5
11.1; 4.613; 0.18192; 5.6; 0.0; 2.4
11.4; 4.720; 0.16459; 5.9; 0.0; 2.4
11.7; 4.822; 0.15087; 6.1; 0.0; 2.4
12.0; 4.918; 0.14081; 6.1; 0.0; 2.4
12.3; 5.010; 0.13421; 5.9; 0.0; 2.4
12.6; 5.098; 0.13051; 5.5; 0.0; 2.5
12.9; 5.184; 0.12872; 4.9; 0.0; 2.6
13.2; 5.270; 0.12751; 4.3; 0.0; 2.6
13.5; 5.355; 0.12595; 3.7; -0.0; 2.7
13.8; 5.441; 0.12451; 2.4; -5.3; 2.6
14.1; 5.529; 0.12568; 3.0; -5.7; 2.6
14.4; 5.620; 0.13073; 3.0; -5.7; 2.6
14.7; 5.716; 0.13996; 2.8; -5.6; 2.6
15.0; 5.815; 0.15318; 2.4; -5.2; 2.6
15.3; 5.920; 0.17073; 1.5; -4.1; 2.6
15.6; 6.029; 0.19200; 0.7; -2.8; 2.6
15.9; 6.144; 0.21549; -0.0; -1.5; 2.6
16.2; 6.265; 0.23955; -0.0; -0.7; 2.7
16.5; 6.391; 0.26276; -0.0; -0.5; 2.7
16.8; 6.523; 0.28265; -0.0; -0.8; 2.6
