# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.23445; -0.0; -0.7; 2.7
0.3; 0.110; 0.24208; -0.0; -0.8; 2.7
0.6; 0.226; 0.25121; -0.0; -0.9; 2.7
0.9; 0.348; 0.25150; -0.0; -0.5; 2.6
1.2; 0.478; 0.24982; -0.0; -0.7; 2.6
1.5; 0.615; 0.24788; -0.0; -1.0; 2.5
1.8; 0.761; 0.24300; 2.7; -0.0; 2.6
2.1; 0.909; 0.23349; 3.1; -0.1; 2.7
2.4; 1.055; 0.21950; 4.0; 0.0; 2.5
2.7; 1.194; 0.20648; 6.9; 0.0; 2.2
3.0; 1.324; 0.18507; 7.2; 0.0; 2.2
3.3; 1.442; 0.15849; 7.7; 0.0; 2.1
3.6; 1.551; 0.13239; 8.9; -0.8; 2.0
3.9; 1.652; 0.10521; 11.0; -2.2; 1.8
4.2; 1.746; 0.07946; 12.9; -3.3; 1.5
4.5; 1.834; 0.05722; 14.3; -4.0; 1.2
4.8; 1.917; 0.04058; 15.2; -4.3; 0.9
5.1; 1.994; 0.03188; 15.6; -4.4; 0.8
5.4; 2.068; 0.03387; 35.4; -38.0; 0.9
5.7; 2.142; 0.04581; 0.0; -8.4; 1.2
6.0; 2.218; 0.06515; -0.0; -7.7; 1.5
6.3; 2.300; 0.08924; -0.0; -6.7; 1.8
6.6; 2.387; 0.11574; -0.0; -5.7; 2.1
6.9; 2.480; 0.14299; 0.3; -5.0; 2.3
7.2; 2.579; 0.17124; 0.5; -3.7; 2.5
7.5; 2.684; 0.19912; 0.3; -2.1; 2.6
7.8; 2.794; 0.22147; -0.0; -0.5; 2.7
8.1; 2.908; 0.23494; -0.0; -0.4; 2.7
8.4; 3.026; 0.24280; -0.0; -0.6; 2.7
8.7; 3.148; 0.24715; -0.0; -0.5; 2.7
9.0; 3.275; 0.24919; 0.7; 0.0; 2.7
9.3; 3.405; 0.24842; 1.8; -0.0; 2.7
9.6; 3.537; 0.24596; 1.9; 0.0; 2.7
9.9; 3.668; 0.23947; 1.6; 0.0; 2.7
10.2; 3.800; 0.23178; 2.5; 0.0; 2.7
10.5; 3.930; 0.22746; 4.3; 0.0; 2.6
10.8; 4.057; 0.22160; 4.4; 0.0; 2.6
11.1; 4.178; 0.21332; 4.1; 0.0; 2.6
11.4; 4.294; 0.20360; 3.9; 0.0; 2.6
11.7; 4.407; 0.19363; 3.9; 0.0; 2.6
12.0; 4.516; 0.18428; 3.9; 0.0; 2.6
12.3; 4.622; 0.17595; 3.9; 0.0; 2.6
12.6; 4.726; 0.16866; 3.9; 0.0; 2.6
12.9; 4.826; 0.16219; 3.9; 0.0; 2.6
13.2; 4.924; 0.15616; 3.9; 0.0; 2.6
13.5; 5.019; 0.15028; 3.9; 0.0; 2.6
13.8; 5.111; 0.14447; 4.1; 0.0; 2.6
14.1; 5.200; 0.13913; 4.2; 0.0; 2.6
14.4; 5.287; 0.13475; 4.2; 0.0; 2.6
14.7; 5.372; 0.13149; 4.2; 0.0; 2.6
15.0; 5.455; 0.12924; 3.9; 0.0; 2.6
15.3; 5.539; 0.12766; 3.6; 0.0; 2.7
15.6; 5.621; 0.12628; 3.3; 0.0; 2.7
15.9; 5.704; 0.12472; 2.9; 0.0; 2.7
16.2; 5.787; 0.12307; 2.6; -0.0; 2.7
16.5; 5.869; 0.12194; 13.7; -14.0; 2.7
16.8; 5.953; 0.12220; 3.5; -5.7; 2.7
17.1; 6.038; 0.12518; 3.8; -6.1; 2.7
17.4; 6.126; 0.13143; 3.8; -6.0; 2.6
17.7; 6.217; 0.14082; 3.7; -5.9; 2.6
18.0; 6.311; 0.15298; 3.2; -5.3; 2.6
18.3; 6.408; 0.16781; 2.6; -4.3; 2.7
18.6; 6.508; 0.18426; 2.0; -3.3; 2.7
18.9; 6.611; 0.20093; 1.5; -2.3; 2.7
19.2; 6.715; 0.21725; 0.6; -1.0; 2.7
